,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12,margin
389,Andhra Pradesh,Rajahmundry,BODDU VENKATARAMANA CHOWDARY,M,39.0,GEN,YSRCP,461204,1935,463139,1421276, ,-167434
401,Andhra Pradesh,Narasapuram,GOKARAJU GANGA RAJU,M,69.0,GEN,BJP,537498,2808,540306,1325028, ,0
406,Andhra Pradesh,Narasapuram,VANKA RAVINDRANATH,M,53.0,GEN,YSRCP,452576,2379,454955,1325028, ,-85351
416,Andhra Pradesh,Eluru ,MAGANTI VENKATESWARA RAO (BABU),M,54.0,GEN,TDP,620374,3097,623471,1427764, ,0
420,Andhra Pradesh,Eluru ,THOTA CHANDRA SEKHAR,M,52.0,GEN,YSRCP,518063,3482,521545,1427764, ,-101926
431,Andhra Pradesh,Machilipatnam ,KONAKALLA NARAYANA RAO,M,64.0,GEN,TDP,583374,3906,587280,1369311, ,0
435,Andhra Pradesh,Machilipatnam ,KOLUSU PARTHA SARATHY,M,48.0,GEN,YSRCP,502875,3348,506223,1369311, ,-81057
444,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),M,48.0,GEN,TDP,589702,3251,592953,1564513, ,0
448,Andhra Pradesh,Vijayawada,KONERU RAJENDRA PRASAD,M,63.0,GEN,YSRCP,514926,3313,518239,1564513, ,-74714
467,Andhra Pradesh,Guntur,JAYADEV GALLA,M,48.0,GEN,TDP,615170,3247,618417,1572017, ,0
474,Andhra Pradesh,Guntur,BALASHOWRY VALLABHANENI,M,45.0,GEN,YSRCP,545602,3704,549306,1572017, ,-69111
481,Andhra Pradesh,Narasaraopet,SAMBASIVA RAO RAYAPATI,M,70.0,GEN,TDP,629706,2758,632464,1514861, ,0
483,Andhra Pradesh,Narasaraopet,AYODHYA RAMIREDDY ALLA,M,50.0,GEN,YSRCP,594230,2954,597184,1514861, ,-35280
493,Andhra Pradesh,Bapatla ,MALYADRI SRIRAM,M,60.0,SC,TDP,574690,3455,578145,1392964, ,0
497,Andhra Pradesh,Bapatla ,VARIKUTI AMRUTHAPANI,M,54.0,SC,YSRCP,542461,2930,545391,1392964, ,-32754
508,Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,M,60.0,GEN,TDP,569401,4901,574302,1470212, ,-15559
512,Andhra Pradesh,Ongole ,Y.V.SUBBA REDDY,M,53.0,GEN,YSRCP,584516,5345,589861,1470212, ,0
