pc_name,total_votes,postal_votes,total_electors,vtr
Coimbatore,1250885,5241,1958904,63.85637071
Cooch behar,1524683,4331,1814200,84.04161614
Cuddalore ,1043202,4461,1364038,76.4789544
Cuttack,1059490,2046,1518996,69.74936076
DAMOH,1164226,434,1768777,65.82095991
DEWAS,1398946,2202,1760503,79.46285806
DHAR,1344132,1587,1786151,75.25298813
DURG,1391996,2635,1940269,71.74242334
Dadra And Nagar Haveli,198983,58,250029,79.58396826
Dahod,1063212,5726,1598939,66.49484439
Dakshina Kannada,1345039,1826,1724976,77.97436022
Daman & diu,87469,28,121740,71.84902251
Darbhanga,964996,2914,1654811,58.3145749
Darjeeling,1267270,7145,1611317,78.64808725
Dausa,1062834,6187,1730289,61.42523012
Davanagere,1194586,2293,1633064,73.14998065
Deoria,1015363,6467,1754195,57.88199145
Dhanbad,1252817,3666,2072634,60.44564549
Dharmapuri,1223205,10894,1485804,82.32613454
Dharwad,1213505,2987,1727311,70.25399595
Dhaurahra,1063840,662,1644674,64.68394344
Dhenkanal,1131522,4872,1504403,75.21402177
Dhubri,1685005,2389,1858566,90.66156381
Dhule,1085038,5182,1908173,56.86266392
Diamond harbour,1409002,1015,1719190,81.95731711
Dibrugarh,1015748,2071,1314319,77.28321663
Dindigul,1160046,4439,1541881,75.23576722
Dindori ,1137631,2877,1732936,65.64760614
Domariyaganj,985269,154,1885433,52.25690863
Dum dum,1204660,1553,1566196,76.91629911
Dumka,1025968,2430,1397253,73.42750382
EAST DELHI                    ,1257821,1507,2039302,61.67899605
Eluru ,1327923,5875,1594950,83.25797047
Ernakulam,967203,1402,1245972,77.62638326
Erode,1067863,5790,1462246,73.02895682
Etah,999607,1754,1621295,61.65484998
Etawah,1027815,4365,1757984,58.46554917
Faizabad,1087121,1355,1821785,59.67339725
Faridabad,1327295,2828,2071816,64.06432811
Faridkot,974947,3938,1541971,63.22732399
Farrukhabad,1002953,2580,1708585,58.70079627
Fatehgarh Sahib,985948,2462,1502861,65.60473657
Fatehpur,1043655,4421,1839312,56.74159686
Fatehpur Sikri,1037151,6147,1718837,60.34027659
Firozabad,1075866,3386,1790510,60.08712601
Firozpur,1172033,5316,1618419,72.41839103
GUNA,1178423,5796,1675724,70.32321552
GWALIOR,1196096,3570,2000744,59.78256089
Gadchiroli-Chimur,1142698,5340,1581366,72.26018518
Gandhinagar,1284090,8637,1945772,65.99385745
Ganganagar,1451765,7371,1943486,74.69902021
Garhwal,742784,21435,1355796,54.78582324
Gauhati,1763757,2517,2181319,80.85736199
Gautam Buddha Nagar,1392952,3297,2302960,60.4852885
Gaya (SC),957248,2146,1704596,56.15688409
Ghatal,1488818,2218,1800002,82.71201921
Ghaziabad,1524456,2564,2728978,55.86179148
Ghazipur,1105627,5737,1881077,58.77627551
Ghosi,1140781,3664,1991651,57.27815767
Giridih,1106918,3228,1649413,67.10981422
Godda,1194036,5067,1716766,69.55147061
Gonda,923816,1632,1770248,52.18568246
Gopalganj (SC),1024876,9482,1839514,55.7144985
Gorakhpur,1184635,3413,1981197,59.79390237
Gulbarga,1189361,3716,1945765,61.12562411
Guntur,1351474,5264,1706119,79.21334913
Gurdaspur,1103887,10459,1595284,69.19689535
Gurgaon,1446509,5071,2150728,67.25671494
HOSHANGABAD,1265869,1190,1706141,74.19486432
Hajipur (SC),1006817,2731,1823664,55.20847042
Hamirpur,1089778,1892,1749100,62.30507118
Hardoi,1057558,2166,1807119,58.52176863
Hardwar,1271030,5817,1840738,69.05002233
Hassan,1277552,3114,1652999,77.28691911
Hathras,1150294,6259,1864320,61.70045915
Hatkanangle,1252211,5955,1776555,70.48534945
Haveri,1266679,3383,1708510,74.13939632
Hazaribagh,1080929,1774,1667465,64.82468897
Hindupur,1338514,11671,1578218,84.8117307
Hingoli ,1157516,5321,1733729,66.76452894
Hisar,1179869,4769,1631817,72.30400223
Hooghly,1457842,2374,1766601,82.52242583
Hoshiarpur,990791,8949,1597500,62.02134585
Howrah,1222293,934,1633925,74.80716679
Hyderabad,877872,605,1957931,44.83671794
INDORE,1629108,2372,2350580,69.30663921
Idukki,919297,1729,1204191,76.34146078
Inner manipur,759301,4728,937464,80.99521688
JABALPUR,1263573,962,1819893,69.43116985
JANJGIR-CHAMPA,1247650,4670,1897134,65.76499077
JHALAWAR-BARAN,1369868,592,1903870,71.95176141
Jadavpur,1436894,2068,1816857,79.08679659
Jagatsinghpur ,1229190,3575,1643595,74.7866719
Jahanabad,822065,5091,1588454,51.75252163
Jaipur,1456404,8480,2127021,68.47153836
Jaipur Rural,1276693,13397,1952542,65.38619912
Jajpur ,1092084,6236,1475007,74.03924185
Jalandhar,1018998,789,1617018,63.01710927
Jalaun,1129955,3172,1933358,58.4452026
Jalgaon,1088277,7701,1931400,56.34653619
Jalna,1208139,4318,1867220,64.70255246
Jalore,1361619,820,2071244,65.73918862
Jalpaiguri,1500922,3211,1735464,86.4853434
Jammu,1478795,23505,2047302,72.23140504
Jamnagar,1010965,6183,1657166,61.00565665
Jamshedpur,1144226,909,1703279,67.17783757
Jamui (SC),949137,1831,1718814,55.22046015
Jangipur,1304504,1588,1616213,80.71361881
Jaunpur,1040652,2092,1867976,55.7101376
Jaynagar,1356102,711,1648355,82.27002072
Jhanjharpur,1060562,1310,1852417,57.25287557
Jhansi,1380890,1483,2040739,67.66617387
Jhargram,1406214,4908,1641868,85.64720185
Jhunjhunu,1198927,19040,1937882,61.86790527
Jodhpur,1346243,11258,1956755,68.79977309
Jorhat,1057965,3726,1365035,77.50460611
Junagadh,1004743,7718,1642864,61.1580143
KANKER,1159193,4364,1558952,74.35719637
KARAULI-DHOLPUR,998044,3623,1810574,55.12307147
KHAJURAHO,1257783,1013,1842095,68.28002899
KHANDWA,1468138,1797,1909055,76.90391319
KHARGONE,1427607,2309,1834385,77.82482958
KORBA,1136903,1867,1508840,75.34947377
Kachchh,1023198,8003,1744321,58.65881337
Kadapa,1228242,8594,1570330,78.21553431
Kairana,1124047,3184,1666703,67.44134978
Kaiserganj,981400,1577,1805946,54.34271014
Kakinada,1234655,7256,1563930,78.94566892
Kalahandi,1228292,5386,1611056,76.24142178
Kaliabor,1424687,3016,1734938,82.11745895
Kallakurichi,1204375,5952,1528938,78.77199729
Kalyan,890313,2358,1965676,45.29296792
Kancheepuram ,1237612,5195,1643992,75.28090161
Kandhamal,941985,2487,1288666,73.09768396
Kangra,1006989,15847,1427338,70.55014299
Kannauj,1140496,3396,1874824,60.83216345
Kanniyakumari,1048377,5752,1501250,69.83360533
Kannur,1053842,5917,1266550,83.20571632
Kanpur,842994,4741,1632983,51.62295015
Kanthi,1424247,2497,1660147,85.79041495
Karakat,868798,4291,1771254,49.04988217
Karimganj ,1060072,1453,1340173,79.09963863
Karimnagar ,1147697,1159,1651543,69.49240801
Karnal,1300722,2696,1904193,68.30830698
Karur,1103165,5218,1387286,79.51965204
Kasaragod,1100051,3908,1363937,80.65262545
Katihar,1117734,710,1653353,67.60407487
Kaushambi,974438,2753,1787120,54.52560544
Kendrapara ,1238214,3341,1710916,72.37140806
Keonjhar ,1176292,2766,1516688,77.55662338
Khadoor Sahib,1046032,5396,1638842,63.82750747
Khagaria,966813,1701,1676454,57.670118
Khammam ,1139831,1406,1513809,75.29556239
Kheda,1098633,4595,1804028,60.89888849
Kheri,1136660,457,1770699,64.19272841
Khunti,832377,1951,1202664,69.21110135
Kishanganj,1101603,612,1659651,66.37558137
Kodarma,1209541,1287,1814125,66.67352029
Kokrajhar,1479485,9921,1776358,83.28754677
Kolar,1258551,2180,1629961,77.21356523
Kolhapur,1330852,5444,1880496,70.77132842
Kolkata Dakshin,1206645,2409,1728851,69.79462082
Kolkata Uttar,950613,1160,1444082,65.82818704
Kollam,968123,6835,1296720,74.65937134
Koppal,1190347,2637,1736693,68.54101445
Koraput ,1080161,3789,1434384,75.30486955
Kota,1367034,6902,1948010,70.17592312
Kottayam,910339,2620,1206698,75.44049961
Kozhikode,1076193,4660,1318024,81.6520033
Krishnagiri,1161369,3576,1530404,75.8864326
Krishnanagar,1366443,5112,1631698,83.74362168
Kurnool,1188327,6170,1573009,75.54483159
Kurukshetra,1230202,2740,1657335,74.22772101
Kushi Nagar,1053117,3938,1761564,59.78306777
Ladakh,126426,3133,179232,70.53762721
Lakhimpur,1283589,3561,1708013,75.1510088
Lakshadweep,47009,132,55189,85.1782058
Lalganj,960568,2246,1751980,54.82756652
Latur ,1176542,6078,1886657,62.36120291
Lohardaga,817550,3690,1234286,66.23667448
Lucknow,1116445,9345,2040367,54.71785223
Ludhiana,1046955,2067,1683325,62.19565443
MAHASAMUND,1222335,2575,1637951,74.62585877
MANDLA,1517255,3296,1951267,77.75742633
MANDSOUR,1370667,2431,1760875,77.8401079
MIZORAM,499621,2841,792464,63.04652325
MORENA,1137290,4522,1837723,61.88582284
Machhlishahr,1034925,2814,1848306,55.99316347
Machilipatnam ,1244570,9098,1473347,84.47229336
Madha,1216319,5587,1909574,63.69582954
Madhepura,1147274,1551,1884883,60.86712013
Madhubani,963708,1414,1792798,53.7544107
Madurai,1016026,4526,1539026,66.01746819
Mahabubabad  ,983535,801,1424385,69.04980044
Maharajganj,972703,3812,1807768,53.80684911
Mahbubnagar,984634,743,1506102,65.37631581
Mahesana,1081938,4891,1648869,65.61697746
Mainpuri,976518,3821,1723236,56.667688
Malappuram,1034618,1621,1370544,75.48958662
Maldaha Dakshin,1279202,3804,1575590,81.18876104
Maldaha Uttar,1354706,2876,1685955,80.3524412
Malkajgiri,1563063,1663,3150313,49.61611751
Mandi,941371,10680,1281462,73.46070348
Mandya,1379210,2844,1712004,80.56114355
Mangaldoi,1506107,4452,1800237,83.66159567
Mathura,1102731,4619,1807893,60.99536864
Mathurapur,1401953,1034,1652096,84.85905177
Maval,1368872,3357,2298080,59.56589849
Mavelikkara ,971035,6746,1308102,74.23236108
Mayiladuthurai,1097243,4326,1484842,73.89627987
Mayurbhanj ,1150357,4845,1493205,77.0394554
Medak,1150223,733,1603318,71.74016633
Medinipur,1409815,2838,1674236,84.20646791
Meerut,1216413,4337,1892931,64.26082092
Mirzapur,1108965,1305,1845150,60.10161775
Misrikh,1026668,1605,1796932,57.13449368
Mohanlalganj,1269594,5658,2023431,62.74461546
Moradabad,1282206,2537,1958939,65.45410551
Mumbai   South,801611,2110,1554176,51.57787792
Mumbai North,989759,1703,1647350,60.08188909
Mumbai North East,908993,1765,1588693,57.21640367
Mumbai North West,941497,1366,1732263,54.35069617
Mumbai North central,901784,1333,1679891,53.68110193
Mumbai South central,797250,1772,1440380,55.34997709
Munger,1036268,5247,1888025,54.88634949
