,pc_name,party,max_total_votes,total_electors
5818,Tripura East,BJP,482126,1261861
5801,Tripura West,BJP,573532,1352857
2267,Tumkur,BJP,596127,1608545
4124,Tura ,NPEP,304455,716990
3088,UJJAIN,BJP,791663,1661229
4833,Udaipur,BJP,871548,2069559
1924,Udhampur,BJP,724311,1685816
2214,Udupi Chikmagalur,BJP,718916,1513806
859,Ujiarpur,BJP,543906,1612300
7217,Uluberia,AITC,694945,1614988
6234,Unnao,BJP,703507,2191465
2159,Uttara Kannada,BJP,786042,1556599
3025,VIDISHA,BJP,853022,1741604
2492,Vadakara,INC,526755,1288926
1492,Vadodara,BJP,883719,1794896
763,Vaishali,LJP,568215,1735983
518,Valmiki Nagar,JD(U),602660,1665502
1586,Valsad,BJP,771980,1671030
6823,Varanasi,BJP,674664,1856791
5083,Vellore,DMK,485340,1438643
142,Vijayawada,TDP,575498,1652994
5186,Viluppuram,DMK,559585,1444335
5643,Virudhunagar,INC,470883,1484256
39,Visakhapatnam,YSRCP,436906,1829300
23,Vizianagaram,YSRCP,578418,1503980
8519,WEST DELHI                    ,BJP,865648,2371644
8276,Warangal,TRS,612498,1666770
3302,Wardha,BJP,578364,1743283
2505,Wayanad,INC,706367,1359679
3400,Yavatmal-Washim,SHS,542098,1916185
8102,Zahirabad,TRS,434244,1498666
