,state,party,total_votes
818,NCT OF Delhi,NOTA,45654
819,NCT OF Delhi,NYP,1053
820,NCT OF Delhi,PBI,4223
821,NCT OF Delhi,PPID,4201
822,NCT OF Delhi,PPOI,2830
823,NCT OF Delhi,PRISM,1400
824,NCT OF Delhi,PSJP,1897
825,NCT OF Delhi,RAJADP,370
826,NCT OF Delhi,RHSP,1648
827,NCT OF Delhi,RJBP,249
828,NCT OF Delhi,RJSPS,551
829,NCT OF Delhi,RPI(A),2783
830,NCT OF Delhi,RRP,2244
831,NCT OF Delhi,RTORP,2297
832,NCT OF Delhi,RaNP,1579
833,NCT OF Delhi,SANVP,309
834,NCT OF Delhi,SJVP,419
835,NCT OF Delhi,SPRP,740
836,NCT OF Delhi,SUCI(C),1749
837,NCT OF Delhi,SatBP,3029
838,NCT OF Delhi,SoJP,805
839,NCT OF Delhi,TNRMPI,699
840,NCT OF Delhi,UtPP,943
841,NCT OF Delhi,VPI,314
842,NCT OF Delhi,bjdi,435
843,NCT OF Delhi,ssrd,1291
844,Nagaland,INC,484166
845,Nagaland,IND,4620
846,Nagaland,NDPP,500510
847,Nagaland,NOTA,2064
848,Nagaland,NPEP,14997
849,Odisha,AAAP,6614
850,Odisha,ABHM,16549
851,Odisha,AIFB,11853
852,Odisha,AITC,9576
853,Odisha,ANC,6553
854,Odisha,APoI,58251
855,Odisha,BHAPRAP,3467
856,Odisha,BJD,10174021
857,Odisha,BJP,9130768
858,Odisha,BMFP,2914
859,Odisha,BMUP,38217
860,Odisha,BSP,181496
861,Odisha,CPI,59978
862,Odisha,CPI(ML)(L),28768
863,Odisha,CPIM,56929
864,Odisha,FPI,6884
865,Odisha,GGP,2699
866,Odisha,HND,10973
867,Odisha,INC,3285339
868,Odisha,IND,160336
869,Odisha,JMM,135552
870,Odisha,JPJD,3222
871,Odisha,KRUP,8510
872,Odisha,KS,6785
873,Odisha,NOTA,310824
874,Odisha,OPD,8304
875,Odisha,PBI,4470
876,Odisha,PSPL,4616
877,Odisha,PUJP,1241
878,Odisha,RAIM,10914
879,Odisha,SP,5148
880,Odisha,SUCI(C),38474
881,Odisha,skd,3877
882,Puducherry,ACDP,674
883,Puducherry,AINRC,247956
884,Puducherry,AgIMK,2201
885,Puducherry,BSP,2689
886,Puducherry,CPI(ML)(L),905
887,Puducherry,INC,444981
888,Puducherry,IND,15626
889,Puducherry,MNM,38068
890,Puducherry,NOTA,12199
891,Puducherry,NTK,22857
892,Puducherry,PUDEP,1319
893,Puducherry,SUCI(C),1285
894,Punjab,AAAP,1015773
895,Punjab,AKBHAD,1072
896,Punjab,ANC,2400
897,Punjab,APoI,7561
898,Punjab,ASJP,3678
899,Punjab,BHAPRAP,4951
900,Punjab,BHTJP,5001
901,Punjab,BJP,1325445
902,Punjab,BLSD,20335
903,Punjab,BMUP,5596
904,Punjab,BSCP,2304
905,Punjab,BSP,479788
906,Punjab,BSP(A),6490
907,Punjab,CPI,42463
908,Punjab,CPI(ML)(L),10616
909,Punjab,CPIM,10665
910,Punjab,DPI,499
911,Punjab,DPIN,4913
912,Punjab,HBP,1430
913,Punjab,HCP,902
914,Punjab,HSP,1014
915,Punjab,HSS,21406
916,Punjab,IDRP,6106
917,Punjab,INC,5523066
918,Punjab,IND,235106
919,Punjab,JD(U),2726
920,Punjab,JJJKP,3566
921,Punjab,JanSP,10838
922,Punjab,LIP,469784
923,Punjab,NATJUP,6531
924,Punjab,NAWPP,161645
925,Punjab,NCP,5689
926,Punjab,NOTA,154423
927,Punjab,PLP,692
928,Punjab,PPID,5178
929,Punjab,PPIS,1597
930,Punjab,PPOI,2824
931,Punjab,PUNEKP,296620
932,Punjab,RASAP,3160
933,Punjab,RJSPS,6415
934,Punjab,RMPOI,15274
935,Punjab,RPI(A),2009
936,Punjab,RPIR,952
937,Punjab,RSP,1733
938,Punjab,RasLP,3296
939,Punjab,SAD,3778574
940,Punjab,SAD(M),52185
941,Punjab,SADT,10424
942,Punjab,SAKAP,6078
943,Punjab,SBM,2917
944,Punjab,SHS,13284
945,Punjab,SLDP,984
946,Punjab,SP(I),1406
947,Punjab,SUCI(C),5106
948,Punjab,SVJSP,942
949,Rajasthan,APoI,88372
950,Rajasthan,AVIRP,891
951,Rajasthan,BJP,18968392
952,Rajasthan,BJSTP,12416
953,Rajasthan,BKNP,1154
954,Rajasthan,BMUP,28476
955,Rajasthan,BRKP(D),2880
956,Rajasthan,BSP,348678
957,Rajasthan,BTP,315258
958,Rajasthan,CPI,46619
959,Rajasthan,CPIM,78648
960,Rajasthan,DSPVAD,1862
961,Rajasthan,HND,1745
962,Rajasthan,IICR,2569
963,Rajasthan,INC,11107910
964,Rajasthan,IND,347584
965,Rajasthan,IPGP,9538
966,Rajasthan,JSVP,1774
967,Rajasthan,MCPI,1161
968,Rajasthan,NOTA,327559
969,Rajasthan,NPSF,5798
970,Rajasthan,PHRC,626
971,Rajasthan,PPID,2751
972,Rajasthan,PRCP,2783
973,Rajasthan,PSPL,3444
974,Rajasthan,PSS,2880
975,Rajasthan,RJBP,506
976,Rajasthan,RKSP,1488
977,Rajasthan,RLTP,660051
978,Rajasthan,RMGLMP,798
979,Rajasthan,RPWP,7486
980,Rajasthan,RRP,12284
981,Rajasthan,RSVP,349
982,Rajasthan,RTKP,1892
983,Rajasthan,RTORP,16744
984,Rajasthan,SHS,16561
985,Rajasthan,SUCI(C),2623
986,Rajasthan,SatBP,8006
987,Rajasthan,SwaBP,508
988,Sikkim,AIP,396
989,Sikkim,BJP,16572
990,Sikkim,HMSKP,1998
991,Sikkim,INC,3990
992,Sikkim,IND,2600
993,Sikkim,JMBP,383
994,Sikkim,NOTA,2279
995,Sikkim,SDF,154489
996,Sikkim,SKM,166922
997,Sikkim,SKPP,1503
998,Sikkim,SUTF,614
999,Tamil Nadu,ACDP,35277
1000,Tamil Nadu,ADMK,8307345
1001,Tamil Nadu,AHIMSASP,972
1002,Tamil Nadu,AIDMMK,1765
1003,Tamil Nadu,AIMAK,645
1004,Tamil Nadu,AIPTMMK,2764
1005,Tamil Nadu,AIUUK,1999
1006,Tamil Nadu,AIVP,643
1007,Tamil Nadu,AMPK,5089
1008,Tamil Nadu,APEP,1368
1009,Tamil Nadu,APoI,4498
1010,Tamil Nadu,AgIMK,4274
1011,Tamil Nadu,BJP,1551924
1012,Tamil Nadu,BSP,161572
1013,Tamil Nadu,CDF,494
1014,Tamil Nadu,CPI,1031617
1015,Tamil Nadu,CPI(ML)(L),5303
1016,Tamil Nadu,CPIM,1019003
1017,Tamil Nadu,DAMK,719
1018,Tamil Nadu,DCLF,596
1019,Tamil Nadu,DMDK,929590
1020,Tamil Nadu,DMK,14363332
1021,Tamil Nadu,DMSK,12809
1022,Tamil Nadu,DUUK,3337
1023,Tamil Nadu,ETMK,5482
1024,Tamil Nadu,FIP,820
1025,Tamil Nadu,GPI,11631
1026,Tamil Nadu,ICF,1815
1027,Tamil Nadu,IMK,748
1028,Tamil Nadu,INC,5405674
1029,Tamil Nadu,IND,3112954
1030,Tamil Nadu,IUML,469943
1031,Tamil Nadu,JKNPP,1251
1032,Tamil Nadu,MKat,1115
1033,Tamil Nadu,MLJK,265
1034,Tamil Nadu,MMKA,3599
1035,Tamil Nadu,MNM,1575640
1036,Tamil Nadu,MSKK,2906
1037,Tamil Nadu,NIDP,2597
1038,Tamil Nadu,NOTA,550577
1039,Tamil Nadu,NTK,1672217
1040,Tamil Nadu,PMK,2297431
1041,Tamil Nadu,PPIS,3317
1042,Tamil Nadu,PPOI,1890
1043,Tamil Nadu,PSPL,7279
1044,Tamil Nadu,PUJP,3521
1045,Tamil Nadu,RPI,670
1046,Tamil Nadu,RPI(A),5158
1047,Tamil Nadu,SDPI,23741
1048,Tamil Nadu,SMFB,4044
1049,Tamil Nadu,SUCI(C),5765
1050,Tamil Nadu,TMC(M),220849
1051,Tamil Nadu,TNLK,37356
1052,Tamil Nadu,TTNP,2516
1053,Tamil Nadu,UBM,689
1054,Tamil Nadu,UMK,9007
1055,Tamil Nadu,USIP,1244
1056,Tamil Nadu,VCK,500229
1057,Tamil Nadu,VMMKT,1108
1058,Tamil Nadu,rpsn,901
1059,Telangana,ABML(S),555
1060,Telangana,ACDP,3674
1061,Telangana,AHNP,29183
1062,Telangana,AIFB,1458
1063,Telangana,AIMIM,517471
1064,Telangana,ANC,9553
1065,Telangana,APoI,6837
1066,Telangana,BARP,13544
1067,Telangana,BJP,3626173
1068,Telangana,BMUP,14831
1069,Telangana,BRPPA,1008
1070,Telangana,BSP,45494
1071,Telangana,CPI,73872
1072,Telangana,CPIM,82191
1073,Telangana,DABAP,1689
1074,Telangana,HBP,1895
1075,Telangana,INC,5496686
1076,Telangana,IND,586559
1077,Telangana,IPBP,8323
1078,Telangana,IRNP,2012
1079,Telangana,JASWP,1056
1080,Telangana,JnP,85781
1081,Telangana,MCPI,18430
1082,Telangana,NATWOMP,2155
1083,Telangana,NIP,1059
1084,Telangana,NOTA,190798
1085,Telangana,NPRP,8007
1086,Telangana,PJSP,4179
1087,Telangana,PPOI,19089
1088,Telangana,PrStP,720
1089,Telangana,RPI,1416
1090,Telangana,RPI(KH),2598
1091,Telangana,RaJPa,2705
1092,Telangana,SDC,3501
1093,Telangana,SHS,2624
1094,Telangana,SJPI,3927
1095,Telangana,SMFB,5963
1096,Telangana,SUCI(C),2779
1097,Telangana,TECPI,1660
1098,Telangana,TELYS,3407
1099,Telangana,TGPJP,521
1100,Telangana,TJS,57073
1101,Telangana,TRS,7696848
1102,Telangana,TSP,1048
1103,Telangana,YSRPP,1320
1104,Telangana,pjdl,1223
1105,Tripura,AITC,8613
1106,Tripura,AMB,9708
1107,Tripura,APoI,7133
1108,Tripura,BJP,1055658
1109,Tripura,CPIM,372789
1110,Tripura,INC,545679
1111,Tripura,IND,34288
1112,Tripura,IPFT,89529
1113,Tripura,NOTA,23174
1114,Tripura,SUCI(C),4525
1115,Tripura,TRIPP,2076
1116,Uttar Pradesh,AAAP,8643
1117,Uttar Pradesh,AABHAP,13009
1118,Uttar Pradesh,AACP,838
1119,Uttar Pradesh,AAPP,3763
1120,Uttar Pradesh,ABGP,1831
1121,Uttar Pradesh,ABHP,1976
1122,Uttar Pradesh,ABJS,2104
1123,Uttar Pradesh,ABLP,503
1124,Uttar Pradesh,ABNNP,2759
1125,Uttar Pradesh,ADAL,1039478
1126,Uttar Pradesh,ADRSP,3423
1127,Uttar Pradesh,ADUP,8541
1128,Uttar Pradesh,AIFB,12070
1129,Uttar Pradesh,AIMF,1128
1130,Uttar Pradesh,AIPF,11032
1131,Uttar Pradesh,AIRCP,1282
1132,Uttar Pradesh,AJPI,16749
1133,Uttar Pradesh,AKSP,7569
1134,Uttar Pradesh,ALHP,1764
1135,Uttar Pradesh,ANIJP,2017
1136,Uttar Pradesh,ANNADATA,5147
1137,Uttar Pradesh,ARK,1057
1138,Uttar Pradesh,ASGP,4283
1139,Uttar Pradesh,ASP,12457
1140,Uttar Pradesh,ASaP,5504
1141,Uttar Pradesh,ATBP,4096
1142,Uttar Pradesh,AYP,921
1143,Uttar Pradesh,BAEP,8164
1144,Uttar Pradesh,BAHUMP,882
1145,Uttar Pradesh,BALP,1262
1146,Uttar Pradesh,BARP,2363
1147,Uttar Pradesh,BAWPA,14060
1148,Uttar Pradesh,BBPP,1268
1149,Uttar Pradesh,BDPty,472
1150,Uttar Pradesh,BHABHAPA,1995
1151,Uttar Pradesh,BHAPRAP,40624
1152,Uttar Pradesh,BHHF,6508
1153,Uttar Pradesh,BJKD,907
1154,Uttar Pradesh,BJNP,6735
1155,Uttar Pradesh,BJP,42858171
1156,Uttar Pradesh,BKNP,3906
1157,Uttar Pradesh,BKPP,9503
1158,Uttar Pradesh,BKrD,4696
1159,Uttar Pradesh,BLRP,18338
1160,Uttar Pradesh,BLSD,1261
1161,Uttar Pradesh,BLokSP,2422
1162,Uttar Pradesh,BMJP,822
1163,Uttar Pradesh,BMUP,35361
1164,Uttar Pradesh,BMVSP,2597
1165,Uttar Pradesh,BND,1047
1166,Uttar Pradesh,BNDl,681
1167,Uttar Pradesh,BNIP,932
1168,Uttar Pradesh,BNavP,619
1169,Uttar Pradesh,BRM,316
1170,Uttar Pradesh,BRPI,14142
1171,Uttar Pradesh,BRSP,1695
1172,Uttar Pradesh,BSCP,20203
1173,Uttar Pradesh,BSKP,829
1174,Uttar Pradesh,BSKRP,1948
1175,Uttar Pradesh,BSP,16659754
1176,Uttar Pradesh,BSPM,501
1177,Uttar Pradesh,BSSPA,3755
1178,Uttar Pradesh,BSUSP,1786
1179,Uttar Pradesh,BUNKD,1849
1180,Uttar Pradesh,BaHaP,1886
1181,Uttar Pradesh,BaJD,489
1182,Uttar Pradesh,BaVaP,984
1183,Uttar Pradesh,BhBSP,2210
1184,Uttar Pradesh,CPI,119223
1185,Uttar Pradesh,CPI(ML)(L),22291
1186,Uttar Pradesh,CPIM,2394
1187,Uttar Pradesh,FJP,564
1188,Uttar Pradesh,GGP,4002
1189,Uttar Pradesh,HND,27747
1190,Uttar Pradesh,HuSP,1432
1191,Uttar Pradesh,INC,5457352
1192,Uttar Pradesh,IND,854421
1193,Uttar Pradesh,INL,3644
1194,Uttar Pradesh,IVD,718
1195,Uttar Pradesh,JAAP,1812
1196,Uttar Pradesh,JAC,1566
1197,Uttar Pradesh,JANADIP,35039
1198,Uttar Pradesh,JANKRPR,4873
1199,Uttar Pradesh,JD,1572
1200,Uttar Pradesh,JD(U),9335
1201,Uttar Pradesh,JDL,203369
1202,Uttar Pradesh,JHBHP,7192
1203,Uttar Pradesh,JKiP,24638
1204,Uttar Pradesh,JNSMP,840
1205,Uttar Pradesh,JPS,847
1206,Uttar Pradesh,JRPa,2308
1207,Uttar Pradesh,JSEP,1557
1208,Uttar Pradesh,JSP,2484
1209,Uttar Pradesh,JaSD,5758
1210,Uttar Pradesh,JaSSP,3731
1211,Uttar Pradesh,KARASP,512
1212,Uttar Pradesh,KBD,6886
1213,Uttar Pradesh,KHSNP,687
1214,Uttar Pradesh,KMBS,1574
1215,Uttar Pradesh,KMSP,6120
1216,Uttar Pradesh,KSRSP,3303
1217,Uttar Pradesh,LD,18218
1218,Uttar Pradesh,LJSPty,968
1219,Uttar Pradesh,LOGAP,18049
1220,Uttar Pradesh,LOKJANP,2725
1221,Uttar Pradesh,MADP,44703
1222,Uttar Pradesh,MARD,973
1223,Uttar Pradesh,MDKMGPH,1669
1224,Uttar Pradesh,MHD,2477
1225,Uttar Pradesh,MKUP,687
1226,Uttar Pradesh,MNDP,1070
1227,Uttar Pradesh,MNVP,3962
1228,Uttar Pradesh,MSJP,2427
1229,Uttar Pradesh,ManKP,1344
1230,Uttar Pradesh,MwSP,4498
1231,Uttar Pradesh,NABMUP,1453
1232,Uttar Pradesh,NAP,5640
1233,Uttar Pradesh,NCP,4570
1234,Uttar Pradesh,NEP,18037
1235,Uttar Pradesh,NFFF,1308
1236,Uttar Pradesh,NJANP,4847
1237,Uttar Pradesh,NOTA,725097
1238,Uttar Pradesh,NSCBRAP,2342
1239,Uttar Pradesh,NaLP,1628
1240,Uttar Pradesh,PECP,27286
1241,Uttar Pradesh,PGSP,11752
1242,Uttar Pradesh,PHSP,4073
1243,Uttar Pradesh,PMPT,2369
1244,Uttar Pradesh,PMSP,8210
1245,Uttar Pradesh,PPID,13767
1246,Uttar Pradesh,PRJP,5451
1247,Uttar Pradesh,PSJP,3368
1248,Uttar Pradesh,PSPL,265580
1249,Uttar Pradesh,RAJUP,776
1250,Uttar Pradesh,RAPI,4016
1251,Uttar Pradesh,RASHLSP,3944
1252,Uttar Pradesh,RASJGP,5768
1253,Uttar Pradesh,RBJJP,2291
1254,Uttar Pradesh,RBP,584
1255,Uttar Pradesh,RGD,975
1256,Uttar Pradesh,RJAPU,7561
1257,Uttar Pradesh,RJBP,3540
1258,Uttar Pradesh,RJBVP,1600
1259,Uttar Pradesh,RKSP,3535
1260,Uttar Pradesh,RLD,1447363
1261,Uttar Pradesh,RMEP,2557
1262,Uttar Pradesh,RMMP,1771
1263,Uttar Pradesh,RND,1630
1264,Uttar Pradesh,RPB,1225
1265,Uttar Pradesh,RPI,1999
1266,Uttar Pradesh,RPI(A),1150
1267,Uttar Pradesh,RSDal,1548
1268,Uttar Pradesh,RSMD,6918
1269,Uttar Pradesh,RSOSP,23622
1270,Uttar Pradesh,RSPS,18123
1271,Uttar Pradesh,RTJPS,1060
1272,Uttar Pradesh,RTKP,5105
1273,Uttar Pradesh,RTORP,709
1274,Uttar Pradesh,RUC,20348
1275,Uttar Pradesh,RVLP,3845
1276,Uttar Pradesh,RVyP,1326
1277,Uttar Pradesh,RaAD,1258
1278,Uttar Pradesh,RaIP,3265
1279,Uttar Pradesh,RsAD,1144
1280,Uttar Pradesh,RtrJP,1264
1281,Uttar Pradesh,SABHP,7106
1282,Uttar Pradesh,SABJANP,2751
1283,Uttar Pradesh,SACP,1360
1284,Uttar Pradesh,SAKSP,2214
1285,Uttar Pradesh,SANVP,2250
1286,Uttar Pradesh,SATKP,2857
1287,Uttar Pradesh,SBSP,277308
1288,Uttar Pradesh,SBSPSP,3919
1289,Uttar Pradesh,SDSP,3139
1290,Uttar Pradesh,SDU,6283
1291,Uttar Pradesh,SFP,882
1292,Uttar Pradesh,SGUP,2744
1293,Uttar Pradesh,SHF,1306
1294,Uttar Pradesh,SHS,29136
1295,Uttar Pradesh,SJSMP,2041
1296,Uttar Pradesh,SP,15533620
1297,Uttar Pradesh,SP(I),1982
1298,Uttar Pradesh,SUCI(C),6121
1299,Uttar Pradesh,SWAJANPA,24526
1300,Uttar Pradesh,SaDa,2901
1301,Uttar Pradesh,SaSaP,2417
1302,Uttar Pradesh,SatBP,9206
1303,Uttar Pradesh,UDFS,451
1304,Uttar Pradesh,VIP,3756
1305,Uttar Pradesh,VIPty,3694
1306,Uttar Pradesh,VMSKP,1529
1307,Uttar Pradesh,VPI,7285
1308,Uttar Pradesh,YVP,2858
1309,Uttar Pradesh,bmd,1549
1310,Uttar Pradesh,igp,504
1311,Uttar Pradesh,jhspt,1431
1312,Uttar Pradesh,kajp,1336
1313,Uttar Pradesh,rajpt,2058
1314,Uttar Pradesh,ssrd,2278
1315,Uttar Pradesh,svjn,2554
1316,Uttarakhand,BJP,2954833
1317,Uttarakhand,BMUP,2856
1318,Uttarakhand,BSP,216755
1319,Uttarakhand,BaSaPa,937
1320,Uttarakhand,CPI(ML)(L),5488
1321,Uttarakhand,CPIM,6626
1322,Uttarakhand,HND,897
1323,Uttarakhand,INC,1520767
1324,Uttarakhand,IND,48003
1325,Uttarakhand,NOTA,50946
1326,Uttarakhand,PLM,3339
1327,Uttarakhand,PPID,738
1328,Uttarakhand,PSPL,707
1329,Uttarakhand,SAVIPA,688
1330,Uttarakhand,SUCI(C),1437
1331,Uttarakhand,UKDD,12629
1332,Uttarakhand,UKKD,8830
1333,Uttarakhand,UPP,5351
1334,Uttarakhand,UtPP,1098
1335,West Bengal,AHNP,6110
1336,West Bengal,AIFB,239312
1337,West Bengal,AIJAP,6495
1338,West Bengal,AITC,24757345
1339,West Bengal,AKBJHP,8484
1340,West Bengal,ALINLBP,2707
1341,West Bengal,AMB,18562
1342,West Bengal,APoI,3269
1343,West Bengal,BHAPRAP,1759
1344,West Bengal,BHMP,6511
1345,West Bengal,BJP,23028517
1346,West Bengal,BMUP,36620
1347,West Bengal,BNARP,31308
1348,West Bengal,BNJD,9400
1349,West Bengal,BSP,221654
1350,West Bengal,CPI,227695
1351,West Bengal,CPI(ML)(L),15597
1352,West Bengal,CPIM,3610645
1353,West Bengal,IDRP,1678
1354,West Bengal,INC,3210491
1355,West Bengal,IND,541801
1356,West Bengal,IUC,4003
1357,West Bengal,JASP,712
1358,West Bengal,JHAP,4164
1359,West Bengal,JKP(N),11204
1360,West Bengal,JKPP,2220
1361,West Bengal,JMM,12936
1362,West Bengal,JSVP,1301
1363,West Bengal,JeSM,5885
1364,West Bengal,KPPU,12666
1365,West Bengal,MPOI,4057
1366,West Bengal,NDPOI,7081
1367,West Bengal,NOTA,546788
1368,West Bengal,PDS,12087
1369,West Bengal,PPOI,965
1370,West Bengal,PUJP,5917
1371,West Bengal,RAHM,440
1372,West Bengal,RAJADP,1226
1373,West Bengal,RJNP,8609
1374,West Bengal,RPI(A),1803
1375,West Bengal,RSP,208275
1376,West Bengal,RVNP,32184
1377,West Bengal,RaJSP,23580
1378,West Bengal,SDPI,11696
1379,West Bengal,SHS,52850
1380,West Bengal,STPI,730
1381,West Bengal,SUCI(C),217376
1382,West Bengal,SWJP,1899
1383,West Bengal,UTSAP,2375
1384,West Bengal,WPOI,23035
1385,West Bengal,grac,2952
