,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
98,Bhilwara,1310513,3176,[1997328],65.61330938,0.15901244
99,Bhiwandi,1005172,2409,[1890100],53.1808899,0.12745357
100,Bhiwani-Mahendragarh,1161115,13975,[1654317],70.18697142,0.8447595
101,Bhongir ,1212631,1375,[1628033],74.48442384,0.08445775
102,Bhubaneswar,1005215,1511,[1699678],59.14149621,0.08889919
103,Bidar,1117167,3015,[1775095],62.93561753,0.16985006
104,Bihar_Aurangabad,934901,2069,[1742883],53.64106483,0.11871135
105,Bijapur,1111354,2573,[1797587],61.82476843,0.14313633
106,Bijnor,1100763,4450,[1664125],66.14665365,0.2674078
107,Bikaner (SC),1099598,3900,[1851628],59.38547052,0.21062546
108,Birbhum,1449423,2300,[1699219],85.299364,0.1353563
109,Bishnupur,1420648,2777,[1627199],87.30634667,0.17066136
110,Bolangir,1306705,2655,[1744446],74.90658926,0.15219732
111,Bolpur,1461269,2320,[1705073],85.70125737,0.13606456
112,Bulandshahr,1123629,5187,[1787925],62.84542137,0.29011284
113,Buldhana,1120359,2290,[1762918],63.55139604,0.12989827
114,Buxar,986861,6570,[1829373],53.9453135,0.35913944
115,CHANDIGARH,456568,361,[646729],70.59649405,0.05581936
116,CHANDNI CHOWK                 ,980390,1469,[1562283],62.75367523,0.09402906
117,CHEVELLA,1300194,1241,[2443112],53.21876361,0.05079587
118,CHHINDWARA,1248031,1821,[1514783],82.39008492,0.12021524
119,Chalakudy,990224,1341,[1230197],80.49312427,0.10900693
120,Chamarajanagar,1270658,2943,[1686333],75.35036081,0.17452069
121,Chandauli,1084961,4901,[1756837],61.75649761,0.27896726
122,Chandrapur,1238474,4688,[1910188],64.835189,0.24542087
123,Chatra,925937,3576,[1425218],64.96809611,0.25090898
124,Chennai North,955545,2775,[1487681],64.23050372,0.18653192
125,Chennai South,1125857,2447,[1973533],57.04779195,0.12399083
126,Chennai central,785450,2764,[1332300],58.95443969,0.20746078
127,Chhota Udaipur,1232459,5617,[1671253],73.74460958,0.33609513
128,Chidambaram ,1153192,3807,[1480222],77.90669237,0.25719115
129,Chikkballapur,1386963,1894,[1808780],76.67947456,0.10471146
130,Chikkodi,1217549,5204,[1612556],75.50429256,0.32271747
131,Chitradurga,1245950,2915,[1760633],70.76716158,0.16556545
132,Chittoor ,1319472,10300,[1566499],84.23063149,0.65751718
133,Chittorgarh,1458760,4271,[2015911],72.36232155,0.21186451
134,Churu,1328422,8271,[2019104],65.79264862,0.40963715
135,Coimbatore,1250885,5241,[1958904],63.85637071,0.26754757
136,Cooch behar,1524683,4331,[1814200],84.04161614,0.23872781
137,Cuddalore ,1043202,4461,[1364038],76.4789544,0.32704367
138,Cuttack,1059490,2046,[1518996],69.74936076,0.13469423
139,DAMOH,1164226,434,[1768777],65.82095991,0.02453673
140,DEWAS,1398946,2202,[1760503],79.46285806,0.12507789
141,DHAR,1344132,1587,[1786151],75.25298813,0.08885027
142,DURG,1391996,2635,[1940269],71.74242334,0.13580591
143,Dadra And Nagar Haveli,198983,58,[250029],79.58396826,0.02319731
144,Dahod,1063212,5726,[1598939],66.49484439,0.35811247
145,Dakshina Kannada,1345039,1826,[1724976],77.97436022,0.10585655
146,Daman & diu,87469,28,[121740],71.84902251,0.02299984
147,Darbhanga,964996,2914,[1654811],58.3145749,0.17609262
148,Darjeeling,1267270,7145,[1611317],78.64808725,0.44342609
149,Dausa,1062834,6187,[1730289],61.42523012,0.35757032
150,Davanagere,1194586,2293,[1633064],73.14998065,0.14041091
151,Deoria,1015363,6467,[1754195],57.88199145,0.36865913
152,Dhanbad,1252817,3666,[2072634],60.44564549,0.17687638
153,Dharmapuri,1223205,10894,[1485804],82.32613454,0.73320573
154,Dharwad,1213505,2987,[1727311],70.25399595,0.17292775
155,Dhaurahra,1063840,662,[1644674],64.68394344,0.04025114
156,Dhenkanal,1131522,4872,[1504403],75.21402177,0.32384939
157,Dhubri,1685005,2389,[1858566],90.66156381,0.12853996
158,Dhule,1085038,5182,[1908173],56.86266392,0.27156867
159,Diamond harbour,1409002,1015,[1719190],81.95731711,0.05903943
160,Dibrugarh,1015748,2071,[1314319],77.28321663,0.1575721
161,Dindigul,1160046,4439,[1541881],75.23576722,0.28789511
162,Dindori ,1137631,2877,[1732936],65.64760614,0.16601883
163,Domariyaganj,985269,154,[1885433],52.25690863,0.00816789
164,Dum dum,1204660,1553,[1566196],76.91629911,0.09915745
165,Dumka,1025968,2430,[1397253],73.42750382,0.17391267
166,EAST DELHI                    ,1257821,1507,[2039302],61.67899605,0.07389783
167,Eluru ,1327923,5875,[1594950],83.25797047,0.36835011
168,Ernakulam,967203,1402,[1245972],77.62638326,0.11252259
169,Erode,1067863,5790,[1462246],73.02895682,0.39596621
170,Etah,999607,1754,[1621295],61.65484998,0.10818512
171,Etawah,1027815,4365,[1757984],58.46554917,0.24829578
172,Faizabad,1087121,1355,[1821785],59.67339725,0.0743776
173,Faridabad,1327295,2828,[2071816],64.06432811,0.13649861
174,Faridkot,974947,3938,[1541971],63.22732399,0.25538742
175,Farrukhabad,1002953,2580,[1708585],58.70079627,0.15100215
176,Fatehgarh Sahib,985948,2462,[1502861],65.60473657,0.16382087
177,Fatehpur,1043655,4421,[1839312],56.74159686,0.24036161
178,Fatehpur Sikri,1037151,6147,[1718837],60.34027659,0.35762553
179,Firozabad,1075866,3386,[1790510],60.08712601,0.18910813
180,Firozpur,1172033,5316,[1618419],72.41839103,0.32846871
181,GUNA,1178423,5796,[1675724],70.32321552,0.34588035
