,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12
1809,Gujarat,Bardoli,VASAVA PARBHUBHAI NAGARBHAI,M,44.0,ST,BJP,621188,1581,622769,1614106, 
6279,Uttar Pradesh,Bareilly,SANTOSH KUMAR GANGWAR,M,64.0,GEN,BJP,517450,808,518258,1664081, 
4872,Rajasthan,Barmer,COL. SONA RAM,M,73.0,GEN,BJP,487437,1310,488747,1680152, 
719,Assam,Barpeta,SIRAJ UDDIN AJMAL,M,67.0,GEN,AIUDF,394580,122,394702,1430188, 
7439,West Bengal,Barrackpore,DINESH TRIVEDI,M,63.0,GEN,AITC,478253,953,479206,1287222, 
7475,West Bengal,Basirhat,IDRIS ALI,M,64.0,GEN,AITC,492054,272,492326,1490596, 
6882,Uttar Pradesh,Basti,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,M,40.0,GEN,BJP,357673,7,357680,1787476, 
4558,Punjab,Bathinda,HARSIMRAT KAUR BADAL,F,47.0,GEN,SAD,514562,165,514727,1525289, 
4119,Maharashtra,Beed,MUNDE GOPINATHRAO PANDURANG,M,66.0,GEN,BJP,635426,569,635995,1792652, 
1203,Bihar,Begusarai,BHOLA SINGH,M,75.0,GEN,BJP,427987,240,428227,1778759, 
2235,Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,M,58.0,GEN,BJP,553802,615,554417,1580895, 
2345,Karnataka,Bellary,B. SREERAMULU,M,43.0,ST,BJP,534213,193,534406,1487945, 
7210,Uttar Pradesh,Bhadohi,VIRENDRA SINGH,M,57.0,GEN,BJP,403583,112,403695,1834598, 
1231,Bihar,Bhagalpur,SHAILESH KUMAR URPH BULO MANDAL,M,38.0,GEN,RJD,367619,4,367623,1685339, 
3581,Maharashtra,Bhandara - gondiya,NANABHAU FALGUNRAO PATOLE,M,51.0,GEN,BJP,605686,443,606129,1655852, 
1792,Gujarat,Bharuch,VASAVA MANSUKHBHAI DHANJIBHAI,M,56.0,ST,BJP,546740,2162,548902,1417548, 
1705,Gujarat,Bhavnagar,DR. BHARATIBEN DHIRUBHAI SHIYAL,F,50.0,GEN,BJP,547080,2449,549529,1594531, 
4946,Rajasthan,Bhilwara,SUBHASH BAHERIA,M,57.0,GEN,BJP,629117,1200,630317,1754901, 
3822,Maharashtra,Bhiwandi,KAPIL MORESHWAR PATIL,M,53.0,GEN,BJP,410752,318,411070,1696584, 
2019,Haryana,Bhiwani-Mahendragarh,DHARAMBIR S/O BHALE RAM,M,59.0,GEN,BJP,404065,477,404542,1473912, 
213,Telangana,Bhongir ,DR. BOORA NARSAIAH GOUD,M,55.0,GEN,TRS,446822,1342,448164,1492240, 
2303,Karnataka,Bidar,BHAGWANTH KHUBA,M,46.0,GEN,BJP,459044,246,459290,1600962, 
2266,Karnataka,Bijapur,RAMESH JIGAJINAGI,M,64.0,SC,BJP,471738,19,471757,1622635, 
5942,Uttar Pradesh,Bijnor,KUNWAR BHARTENDRA,M,50.0,GEN,BJP,485625,1288,486913,1562081, 
4649,Rajasthan,Bikaner,ARJUN RAM MEGHWAL ,M,60.0,SC,BJP,583455,1477,584932,1592355, 
7767,West Bengal,Birbhum,SATABDI ROY,F,45.0,GEN,AITC,460216,352,460568,1495089, 
7712,West Bengal,Bishnupur,KHAN SAUMITRA,M,34.0,SC,AITC,578255,615,578870,1466921, 
7756,West Bengal,Bolpur,ANUPAM HAZRA,M,32.0,SC,AITC,630085,608,630693,1538421, 
6104,Uttar Pradesh,Bulandshahr,BHOLA SINGH,M,38.0,SC,BJP,603860,589,604449,1736436, 
3457,Maharashtra,Buldhana,JADHAV PRATAPRAO GANPATRAO,M,53.0,GEN,SHS,508972,173,509145,1595435, 
7734,West Bengal,Burdwan - durgapur,DR. MAMTAZ SANGHAMITA,F,68.0,GEN,AITC,553926,595,554521,1583495, 
1357,Bihar,Buxar,ASHWINI KUMAR CHOUBEY,M,61.0,GEN,BJP,318954,58,319012,1640671, 
8125,Chandigarh,CHANDIGARH,KIRRON KHER ,F,61.0,GEN,BJP,191295,67,191362,615214, 
8163,NCT OF Delhi,CHANDNI CHOWK                 ,DR. HARSH VARDHAN,M,59.0,GEN,BJP,436380,1558,437938,1447230, 
166,Telangana,CHELVELLA,KONDA VISHWESHWAR REDDY,M,54.0,GEN,TRS,431084,3993,435077,2185164, 
3193,Madhya Pradesh,CHHINDWARA,KAMAL NATH,M,67.0,GEN,INC,559667,88,559755,1402038, 
2830,Kerala,Chalakudy,INNOCENT,M,66.0,GEN,IND,358020,420,358440,1150497, 
