,party,state,total_votes,split_votes,vote_perc
637,KS,Bihar,2946,520018484,0.0005665183239909603
575,JD(U),Punjab,2925,520018484,0.0005624800059991714
1030,aicp,Punjab,2920,520018484,0.0005615185017154122
715,NEP,Uttar Pradesh,2917,520018484,0.0005609415991451566
790,RBS,Maharashtra,2910,520018484,0.0005595954931478936
1038,grac,West Bengal,2906,520018484,0.0005588262897208862
980,SUCI,Tamil Nadu,2906,520018484,0.0005588262897208862
598,JM,Haryana,2901,520018484,0.0005578647854371268
653,LSP,Karnataka,2881,520018484,0.0005540187683020898
1014,VHS,Gujarat,2880,520018484,0.000553826467445338
545,IUML,Maharashtra,2865,520018484,0.0005509419545940602
865,RSPS,Karnataka,2862,520018484,0.0005503650520238047
590,JKNPP,Bihar,2811,520018484,0.0005405577083294601
791,RCMP,Karnataka,2803,520018484,0.0005390193014754453
508,IND,Dadra & Nagar Haveli,2786,520018484,0.0005357501869106637
1039,hkd,Haryana,2761,520018484,0.0005309426654918674
834,RPI(A),Gujarat,2754,520018484,0.0005295965594946044
174,APRSSP,Telangana,2743,520018484,0.000527481250070334
822,RP(K),Maharashtra,2736,520018484,0.0005261351440730711
588,JKM,Uttar Pradesh,2711,520018484,0.0005213276226542747
171,ANC,Uttarakhand,2706,520018484,0.0005203661183705154
23, ,Nagaland,2696,520018484,0.0005184431098029969
768,PRISM,Jammu & Kashmir,2694,520018484,0.0005180585080894932
343,BhSMP,Punjab,2689,520018484,0.0005170970038057339
978,SUCI,Madhya Pradesh,2682,520018484,0.000515750897808471
805,RJP(E),Haryana,2654,520018484,0.0005103664738194191
450,HKRD,Uttar Pradesh,2645,520018484,0.0005086357661086524
920,SHS,Madhya Pradesh,2625,520018484,0.0005047897489736153
435,GRIP,Andhra Pradesh,2594,520018484,0.0004988284224143078
289,BPC,NCT OF Delhi,2571,520018484,0.0004944055027090152
1000,TLP,Telangana,2567,520018484,0.0004936362992820078
166,ANC,Andhra Pradesh,2565,520018484,0.0004932516975685042
626,JaRaP,Uttar Pradesh,2543,520018484,0.0004890210787199633
60,AAAP,Sikkim,2541,520018484,0.0004886364770064597
690,NADP,Bihar,2536,520018484,0.0004876749727227004
287,BNNP,Rajasthan,2533,520018484,0.00048709807015244477
