,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
451,Surendranagar,944677,6102,[1849429],51.07938721,0.32993967
452,TIKAMGARH,766321,417,[1647399],46.51702472,0.02531263
453,TONK-SAWAI MADHOPUR,1043638,625,[1945992],53.63012798,0.0321173
454,Tamluk,1337684,2626,[1694646],78.93589576,0.15495862
455,Tehri Garhwal,776214,5346,[1493543],51.97131921,0.35794082
456,Tenkasi ,1017938,2687,[1492317],68.21191476,0.18005558
457,Tezpur,980688,164,[1499639],65.39493838,0.01093597
458,Thane,1054189,901,[2370903],44.46360733,0.0380024
459,Thanjavur,1012258,2654,[1461052],69.28281813,0.18164993
460,Theni ,1075583,752,[1561040],68.90169374,0.04817301
461,Thiruvallur ,1254440,328,[1946870],64.43368073,0.01684756
462,Thiruvananthapuram,873441,2794,[1371427],63.68847923,0.2037294
463,Thoothukkudi,916778,1967,[1427783],64.20989744,0.13776603
464,Thrissur,920505,948,[1337110],68.84287755,0.07089918
465,Tiruchirappalli,988250,2595,[1508963],65.49199682,0.17197241
466,Tirunelveli,962330,1317,[1547800],62.1740535,0.08508851
467,Tirupati ,1213062,5644,[1650453],73.49873035,0.34196672
468,Tiruppur,1050190,1646,[1530014],68.63924121,0.10758071
469,Tiruvannamalai,1067447,3943,[1473862],72.42516599,0.26752844
470,Tripura East,951080,6378,[1261861],75.37121759,0.50544394
471,Tripura West,1072749,8645,[1352857],79.29507701,0.63901802
472,Tumkur,1101484,749,[1608545],68.47703981,0.04656382
473,Tura ,458071,82,[716990],63.88805981,0.0114367
474,UJJAIN,1016405,548,[1661229],61.18391865,0.03298763
475,Udaipur,1193202,4036,[2069559],57.65489169,0.19501739
476,Udhampur,1041758,628,[1685816],61.79547471,0.03725199
477,Udupi Chikmagalur,1034108,1057,[1513806],68.3117916,0.06982401
478,Ujiarpur,858920,15,[1612300],53.27296409,0.00093035
479,Uluberia,1186027,443,[1614988],73.43875001,0.02743054
480,Unnao,1201603,1667,[2191465],54.83103768,0.07606784
481,Uttara Kannada,1001038,601,[1556599],64.30930509,0.03860982
482,VIDISHA,1073473,1026,[1741604],61.63703115,0.05891121
483,Vadakara,959342,2297,[1288926],74.42956384,0.17821039
484,Vadodara,1161577,5921,[1794896],64.71556012,0.32987984
485,Vaishali,925937,11,[1735983],53.33790711,0.00063365
486,Valmiki Nagar,900127,289,[1665502],54.04538692,0.01735213
487,Valsad,1122203,3419,[1671030],67.15636464,0.20460435
488,Varanasi,1030685,869,[1856791],55.50893989,0.04680117
489,Vellore,974770,1083,[1438643],67.75621193,0.07527927
490,Vijayawada,1195765,7386,[1652994],72.33934303,0.44682558
491,Viluppuram,1067641,3483,[1444335],73.91920849,0.24114904
492,Virudhunagar,1010930,1811,[1484256],68.11021818,0.12201399
493,Visakhapatnam,1163558,3380,[1829300],63.60673482,0.18477013
494,Vizianagaram,1120316,4726,[1503980],74.4900863,0.3142329
495,WEST DELHI                    ,1347971,2326,[2371644],56.83698734,0.09807543
496,Warangal,1174631,3908,[1666770],70.47349064,0.23446546
497,Wardha,1013445,1267,[1743283],58.13427883,0.07267896
498,Wayanad,915006,780,[1359679],67.29573671,0.05736648
499,Yavatmal-Washim,1032949,1610,[1916185],53.90653825,0.08402111
500,Zahirabad,1094806,4540,[1498666],73.05203428,0.30293608
