pc_name,party,max_total_votes,total_electors
Ghazipur,BJP,306929,1801519
Ghosi,BJP,379797,1891112
Giridih,BJP,391913,1511644
Godda,BJP,380500,1590772
Gonda,BJP,359639,1710825
Gopalganj (SC),BJP,478773,1654838
Gorakhpur,BJP,539127,1903988
Gulbarga,INC,507193,1721990
Guntur,TDP,618417,1572017
Gurdaspur,BJP,482255,1500337
Gurgaon,BJP,644780,1844906
HOSHANGABAD,BJP,669128,1568206
Hajipur (SC),LJP,455652,1649547
Hamirpur,BJP,453884,1737993
Hardoi,BJP,360501,1714388
Hardwar,BJP,592320,1642873
Hassan,JD(S),509841,1561486
Hathras,BJP,544277,1758927
Hatkanangle,SWP,640428,1630604
Haveri,BJP,566790,1558749
Hazaribagh,BJP,406931,1518923
Hindupur,TDP,604291,1446496
Hingoli ,INC,467397,1586194
Hisar,INLD,494478,1517606
Hooghly,AITC,614312,1630042
Hoshiarpur,BJP,346643,1485286
Howrah,AITC,488461,1505099
Hyderabad,AIMIM,513868,1823217
INDORE,BJP,854972,2115303
Idukki,IND,382019,1158735
Inner manipur,INC,292102,855360
JABALPUR,BJP,564609,1711621
JHALAWAR-BARAN,BJP,676102,1669844
Jadavpur,AITC,584244,1595746
Jahanabad,BLSP,322647,1423246
Jaipur,BJP,863358,1957820
Jaipur Rural,BJP,632930,1700307
Jalandhar,INC,380479,1551497
Jalaun,BJP,548631,1887189
Jalgaon,BJP,647773,1707969
Jalna,BJP,591428,1612056
Jalore,BJP,580508,1824968
Jalpaiguri,AITC,494773,1531469
Jammu,BJP,619995,1848155
Jamnagar,BJP,484412,1470952
Jamshedpur,BJP,464153,1581665
Jamui (SC),LJP,285354,1550936
Jangipur,INC,378201,1391656
Jaunpur,BJP,367149,1848842
Jhanjharpur,BJP,335481,1668405
Jhansi,BJP,575889,1932052
Jhargram,AITC,674504,1475112
Jhunjhunu,BJP,488182,1697470
Jodhpur,BJP,713515,1727791
Jorhat,BJP,456420,1189486
Joynagar,AITC,494746,1458724
Junagadh,BJP,513179,1485543
KARAULI-DHOLPUR,BJP,402407,1549468
KHAJURAHO,BJP,474966,1702833
KHANDWA,BJP,717357,1759417
KHARGONE,BJP,649354,1703272
Kachchh,BJP,562855,1533782
Kadapa,YSRCP,671983,1550440
Kairana,BJP,565909,1531767
Kaiserganj,BJP,381500,1711967
Kakinada,TDP,514402,1418290
Kaliabor,INC,443315,1457219
Kallakurichi,ADMK,533383,1412499
Kalyan,SHS,440892,1922034
Kancheepuram ,ADMK,499395,1480123
Kangra,BJP,456163,1258601
Kannauj,SP,489164,1808886
Kanniyakumari,BJP,372906,1467796
Kannur,CPM,427622,1170266
Kanpur,BJP,474712,1611248
Kanthi,AITC,676749,1490409
Karakat,BLSP,338892,1580558
Karimganj ,AIUDF,362866,1165997
Karimnagar ,TRS,505358,1550810
Karnal,BJP,594817,1684321
Karur,ADMK,540722,1298322
Kasaragod,CPM,384964,1243730
Katihar,NCP,431292,1446478
