,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,margin,margin_difference
283,Andhra Pradesh,Kadapa,Adi Narayana Reddy Chadipirala,MALE,61.0,GENERAL,TDP,400142,2631,402773,1570330,-380726,135364.0
298,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,MALE,70.0,GENERAL,YSRCP,677014,6816,683830,1672845,0,148856.0
301,Andhra Pradesh,Nellore,Beeda Masthan Rao,MALE,60.0,GENERAL,TDP,529571,5688,535259,1672845,-148571,131106.0
314,Andhra Pradesh,Tirupati ,Panabaka Lakshmi,FEMALE,60.0,SC,TDP,490605,3896,494501,1650453,-228376,139171.0
315,Andhra Pradesh,Tirupati ,Balli Durga Prasad Rao,MALE,63.0,SC,YSRCP,717924,4953,722877,1650453,0,453015.0
325,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,MALE,42.0,GENERAL,YSRCP,695277,6934,702211,1546938,0,301527.0
327,Andhra Pradesh,Rajampet,D A SATHYA PRABHA,FEMALE,68.0,GENERAL,TDP,429710,4217,433927,1546938,-268284,-128889.0
337,Andhra Pradesh,Chittoor ,NARAMALLI SIVA PRASAD,MALE,67.0,SC,TDP,545374,4147,549521,1566499,-137271,495080.0
339,Andhra Pradesh,Chittoor ,N. REDDEPPA,MALE,68.0,SC,YSRCP,681325,5467,686792,1566499,0,138545.0
344,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,MALE,47.0,ST,BJP,216494,9302,225796,463775,0,0.0
345,Arunachal Pradesh,ARUNACHAL WEST,NABAM TUKI,MALE,51.0,ST,INC,49362,1591,50953,463775,-174843,-174843.0
352,Arunachal Pradesh,ARUNACHAL EAST,Lowangcha Wanglat,MALE,69.0,ST,INC,80378,3557,83935,339788,-69948,27930.0
354,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,MALE,54.0,ST,BJP,148567,5316,153883,339788,0,0.0
358,Assam,Karimganj ,KRIPANATH MALLAH,MALE,46.0,SC,BJP,471946,1100,473046,1340173,0,152139.0
360,Assam,Karimganj ,RADHESHYAM BISWAS,MALE,66.0,SC,AIUDF,434519,138,434657,1340173,-38389,188028.0
373,Assam,Silchar,RAJDEEP ROY,MALE,48.0,GENERAL,BJP,496235,3179,499414,1195720,0,0.0
374,Assam,Silchar,SUSHMITA DEV,FEMALE,46.0,GENERAL,INC,416233,1585,417818,1195720,-81596,662144.0
387,Assam,Autonomous District,BIREN SINGH ENGTI,MALE,76.0,ST,INC,141344,346,141690,795945,-239626,-239626.0
388,Assam,Autonomous District,HOREN SING BEY,MALE,49.0,ST,BJP,380183,1133,381316,795945,0,70875.0
393,Assam,Dhubri,ABU TAHER BEPARI,MALE,52.0,GENERAL,INC,492086,420,492506,1858566,-226258,-15241.0
396,Assam,Dhubri,BADRUDDIN AJMAL,MALE,63.0,GENERAL,AIUDF,718131,633,718764,1858566,0,567033.0
409,Assam,Kokrajhar,Pramila Rani Brahma,FEMALE,69.0,ST,BOPF,443410,3364,446774,1776358,-37786,217841.0
415,Assam,Kokrajhar,Naba Kumar Sarania,MALE,50.0,ST,IND,482556,2004,484560,1776358,0,0.0
419,Assam,Barpeta,Abdul Khaleque,MALE,44.0,GENERAL,INC,643441,1732,645173,1685149,0,567513.0
421,Assam,Barpeta,Kumar Deepak Das,MALE,66.0,GENERAL,AGP,501319,3547,504866,1685149,-140307,207931.0
433,Assam,Gauhati,QUEEN OJA,FEMALE,67.0,GENERAL,BJP,1007156,1780,1008936,2181319,0,497456.0
434,Assam,Gauhati,BOBBEETA SHARMA,FEMALE,52.0,GENERAL,INC,662776,554,663330,2181319,-345606,-345606.0
451,Assam,Mangaldoi,DILIP SAIKIA,MALE,45.0,GENERAL,BJP,732740,2729,735469,1800237,0,0.0
452,Assam,Mangaldoi,BHUBANESWAR KALITA,MALE,67.0,GENERAL,INC,595845,1079,596924,1800237,-138545,8381.0
463,Assam,Tezpur,PALLAB LOCHAN DAS,MALE,41.0,GENERAL,BJP,681437,2729,684166,1499639,0,0.0
464,Assam,Tezpur,M.G.V.K. BHANU,MALE,60.0,GENERAL,INC,440461,864,441325,1499639,-242841,-242841.0
471,Assam,Nowgong,Pradyut Bordoloi,MALE,59.0,GENERAL,INC,738881,843,739724,1794648,0,383729.0
472,Assam,Nowgong,Sri Rupak Sharma,MALE,46.0,GENERAL,BJP,720727,2245,722972,1794648,-16752,748521.0
479,Assam,Kaliabor,Gaurav Gogoi,MALE,36.0,GENERAL,INC,785014,1078,786092,1734938,0,561025.0
480,Assam,Kaliabor,Moni Madhab Mahanta,MALE,41.0,GENERAL,AGP,574456,1642,576098,1734938,-209994,230012.0
488,Assam,Jorhat,TOPON KUMAR GOGOI,MALE,50.0,GENERAL,BJP,540942,2346,543288,1365035,0,0.0
490,Assam,Jorhat,SUSHANTA BORGOHAIN,MALE,44.0,GENERAL,INC,459480,1155,460635,1365035,-82653,-82653.0
496,Assam,Dibrugarh,PABAN SINGH GHATOWAR,MALE,67.0,GENERAL,INC,294663,354,295017,1314319,-364566,-364566.0
497,Assam,Dibrugarh,RAMESWAR TELI,MALE,48.0,GENERAL,BJP,657983,1600,659583,1314319,0,0.0
505,Assam,Lakhimpur,ANIL BORGOHAIN,MALE,51.0,GENERAL,INC,425002,853,425855,1708013,-350551,-350551.0
509,Assam,Lakhimpur,PRADAN BARUAH,MALE,53.0,ST,BJP,774017,2389,776406,1708013,0,93368.0
518,Bihar,Valmiki Nagar,BAIDYANATH PRASAD MAHTO,MALE,62.0,GENERAL,JD(U),601227,1433,602660,1665502,0,0.0
519,Bihar,Valmiki Nagar,SHASHWAT KEDAR,MALE,32.0,GENERAL,INC,247319,725,248044,1665502,-354616,-5017.0
531,Bihar,Paschim Champaran,BRIJESH KUMAR KUSHWAHA,MALE,41.0,GENERAL,BLSP,307964,1836,309800,1633824,-293906,-293906.0
533,Bihar,Paschim Champaran,DR. SANJAY JAISWAL,MALE,54.0,GENERAL,BJP,600735,2971,603706,1633824,0,0.0
541,Bihar,Purvi Champaran,AAKASH KUMAR SINGH,MALE,27.0,GENERAL,BLSP,281500,2639,284139,1658672,-293648,-175709.0
543,Bihar,Purvi Champaran,RADHA MOHAN SINGH,MALE,69.0,GENERAL,BJP,574081,3706,577787,1658672,0,
565,Bihar,Sheohar,RAMA DEVI,FEMALE,69.0,GENERAL,BJP,606581,2097,608678,1686215,0,
567,Bihar,Sheohar,SYED FAISAL ALI,MALE,52.0,GENERAL,RJD,266870,1448,268318,1686215,-340360,
583,Bihar,Sitamarhi,Arjun Ray,MALE,47.0,GENERAL,RJD,315230,1976,317206,1752454,-250539,
585,Bihar,Sitamarhi,Sunil Kumar Pintu,MALE,58.0,GENERAL,JD(U),565533,2212,567745,1752454,0,
604,Bihar,Madhubani,ASHOK KUMAR YADAV,MALE,49.0,GENERAL,BJP,594811,1032,595843,1792798,0,
608,Bihar,Madhubani,BADRI KUMAR PURBEY,MALE,46.0,GENERAL,VSIP,140705,198,140903,1792798,-454940,
622,Bihar,Jhanjharpur,GULAB YADAV,MALE,51.0,GENERAL,RJD,279168,272,279440,1852417,-322951,
624,Bihar,Jhanjharpur,Ramprit Mandal,MALE,63.0,GENERAL,JD(U),601597,794,602391,1852417,0,
