,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,margin,margin_difference
1506,Gujarat,Chhota Udaipur,RATHAVA RANJITSINH MOHANSINH,MALE,53.0,ST,INC,384059,2443,386502,1671253,-377943,
1513,Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,MALE,61.0,ST,BJP,635374,2421,637795,1564519,0,
1515,Gujarat,Bharuch,Sherkhan Abdulsakur Pathan,MALE,37.0,GENERAL,INC,302890,691,303581,1564519,-334214,
1531,Gujarat,Bardoli,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,MALE,53.0,ST,INC,524474,2352,526826,1826526,-215447,
1533,Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,MALE,49.0,ST,BJP,740448,1825,742273,1826526,0,
1544,Gujarat,Surat,Ashok Patel (Adhevada),MALE,45.0,GENERAL,INC,246978,443,247421,1655704,-548230,
1545,Gujarat,Surat,Darshana Vikram Jardosh,FEMALE,58.0,GENERAL,BJP,794133,1518,795651,1655704,0,
1558,Gujarat,Navsari,PATEL DHARMESHBHAI BHIMBHAI,MALE,47.0,GENERAL,INC,281663,1408,283071,1971658,-689668,
1559,Gujarat,Navsari,C. R. Patil,MALE,64.0,GENERAL,BJP,969430,3309,972739,1971658,0,
1585,Gujarat,Valsad,CHAUDHARI JITUBHAI HARJIBHAI,MALE,54.0,ST,INC,416310,1873,418183,1671030,-353797,
1586,Gujarat,Valsad,Dr.K.C.PATEL,MALE,69.0,ST,BJP,770442,1538,771980,1671030,0,
1596,Haryana,Ambala,RATTAN LAL KATARIA,MALE,67.0,SC,BJP,744438,2070,746508,1853711,0,
1598,Haryana,Ambala,SELJA,FEMALE,56.0,SC,INC,403678,485,404163,1853711,-342345,
1614,Haryana,Kurukshetra,NAYAB SINGH,MALE,49.0,GENERAL,BJP,686588,2041,688629,1657335,0,
1615,Haryana,Kurukshetra,NIRMAL SINGH,MALE,66.0,GENERAL,INC,303722,316,304038,1657335,-384591,
1638,Haryana,Sirsa,Ashok Tanwar,MALE,43.0,SC,INC,404099,334,404433,1803349,-309918,
1641,Haryana,Sirsa,Sunita Duggal,FEMALE,51.0,SC,BJP,712877,1474,714351,1803349,0,
1659,Haryana,Hisar,BRIJENDRA SINGH,MALE,46.0,GENERAL,BJP,599951,3338,603289,1631817,0,
1666,Haryana,Hisar,DUSHYANT CHAUTALA,MALE,31.0,GENERAL,JNJP,288425,796,289221,1631817,-314068,
1686,Haryana,Karnal,Kuldip Sharma,MALE,62.0,GENERAL,INC,255163,289,255452,1904193,-656142,
1689,Haryana,Karnal,Sanjay Bhatia,MALE,51.0,GENERAL,BJP,909432,2162,911594,1904193,0,
1703,Haryana,Sonipat,BHUPINDER SINGH HOODA,MALE,72.0,GENERAL,INC,421229,1571,422800,1592611,-164864,
1704,Haryana,Sonipat,RAMESH CHANDER KAUSHIK,MALE,62.0,GENERAL,BJP,583988,3676,587664,1592611,0,
1733,Haryana,Rohtak,ARVIND KUMAR SHARMA,MALE,56.0,GENERAL,BJP,566242,7603,573845,1737133,0,
1735,Haryana,Rohtak,DEEPENDER SINGH HOODA,MALE,41.0,GENERAL,INC,563606,2736,566342,1737133,-7503,
1752,Haryana,Bhiwani-Mahendragarh,Dharambir Singh S/o Bhale Ram,MALE,64.0,GENERAL,BJP,725725,10974,736699,1654317,0,
1754,Haryana,Bhiwani-Mahendragarh,Shruti Choudhry,FEMALE,43.0,GENERAL,INC,290463,1773,292236,1654317,-444463,
1774,Haryana,Gurgaon,CAPT. AJAY SINGH,MALE,60.0,GENERAL,INC,494733,557,495290,2150728,-386256,
1775,Haryana,Gurgaon,RAO INDERJIT SINGH,MALE,69.0,GENERAL,BJP,877241,4305,881546,2150728,0,
1799,Haryana,Faridabad,AVTAR SINGH BHADANA,MALE,62.0,GENERAL,INC,274755,228,274983,2071816,-638239,
1800,Haryana,Faridabad,KRISHAN PAL,MALE,62.0,GENERAL,BJP,910787,2435,913222,2071816,0,
1827,Himachal Pradesh,Kangra,Kishan Kapoor,MALE,67.0,ST,BJP,712133,13085,725218,1427338,0,
1829,Himachal Pradesh,Kangra,Pawan Kajal,MALE,45.0,GENERAL,INC,245474,2121,247595,1427338,-477623,
1839,Himachal Pradesh,Mandi,AASHRAY SHARMA,MALE,32.0,GENERAL,INC,240184,1546,241730,1281462,-405459,
1841,Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,MALE,60.0,GENERAL,BJP,638441,8748,647189,1281462,0,
1857,Himachal Pradesh, HP_Hamirpur,ANURAG SINGH THAKUR,MALE,44.0,GENERAL,BJP,668812,13880,682692,1362269,0,
1859,Himachal Pradesh, HP_Hamirpur,RAM LAL THAKUR,MALE,68.0,GENERAL,INC,281000,2120,283120,1362269,-399572,
1869,Himachal Pradesh,Shimla,DHANI RAM SHANDIL,MALE,78.0,SC,INC,277647,1021,278668,1259085,-327514,
1871,Himachal Pradesh,Shimla,SURESH KUMAR KASHYAP,MALE,48.0,SC,BJP,601305,4877,606182,1259085,0,
1879,Jammu & Kashmir,Baramulla,MOHAMMAD AKBAR LONE,MALE,71.0,GENERAL,JKN,132969,457,133426,1317738,0,
1881,Jammu & Kashmir,Baramulla,RAJA AIJAZ ALI,MALE,67.0,GENERAL,JPC,103052,141,103193,1317738,-30233,
1887,Jammu & Kashmir,Srinagar,Aga Syed Mohsin,MALE,58.0,GENERAL,PDP,36620,80,36700,1294671,-70050,
1889,Jammu & Kashmir,Srinagar,Farooq Abdullah,MALE,83.0,GENERAL,JKN,106596,154,106750,1294671,0,
1899,Jammu & Kashmir,Anantnag,HASNAIN MASOODI,MALE,65.0,GENERAL,JKN,40032,148,40180,1397779,0,
1900,Jammu & Kashmir,Anantnag,GHULAM AHMAD MIR,MALE,60.0,GENERAL,INC,32879,625,33504,1397779,-6676,
1918,Jammu & Kashmir,Ladakh,Jamyang Tsering Namgyal,MALE,33.0,ST,BJP,41315,1599,42914,179232,0,
1921,Jammu & Kashmir,Ladakh,Sajjad Hussain,MALE,37.0,ST,IND,31552,432,31984,179232,-10930,
1924,Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,MALE,62.0,GENERAL,BJP,715406,8905,724311,1685816,0,
1925,Jammu & Kashmir,Udhampur,VIKRAMADITYA SINGH,MALE,54.0,GENERAL,INC,366123,936,367059,1685816,-357252,
1938,Jammu & Kashmir,Jammu,Jugal Kishore,MALE,56.0,GENERAL,BJP,840214,17852,858066,2047302,0,
1939,Jammu & Kashmir,Jammu,Raman Bhalla,MALE,56.0,GENERAL,INC,551187,4004,555191,2047302,-302875,
1961,Karnataka,Chikkodi,ANNASAHEB SHANKAR JOLLE,MALE,55.0,GENERAL,BJP,641232,3785,645017,1612556,0,
1962,Karnataka,Chikkodi,PRAKASH BABANNA HUKKERI,MALE,72.0,GENERAL,INC,524871,1269,526140,1612556,-118877,
1973,Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,MALE,63.0,GENERAL,BJP,756986,5005,761991,1779350,0,
1975,Karnataka,Belgaum,Dr.SADHUNAVAR,MALE,69.0,GENERAL,INC,369944,743,370687,1779350,-391304,
2031,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,MALE,68.0,GENERAL,BJP,661662,2976,664638,1704010,0,
2033,Karnataka,Bagalkot,Veena Kashappanavar,FEMALE,38.0,GENERAL,INC,495636,815,496451,1704010,-168187,
2046,Karnataka,Bijapur,JIGAJINAGI RAMESH CHANDAPPA,MALE,66.0,SC,BJP,633868,1999,635867,1797587,0,
2048,Karnataka,Bijapur,DR. SUNITA DEVANAND CHAVAN,FEMALE,42.0,SC,JD(S),377342,487,377829,1797587,-258038,
2059,Karnataka,Gulbarga,DR. UMESH G JADHAV,MALE,60.0,SC,BJP,617692,2500,620192,1945765,0,
2060,Karnataka,Gulbarga,MALLIKARJUN KHARGE,MALE,77.0,SC,INC,523552,1188,524740,1945765,-95452,
2072,Karnataka,Raichur,B. V NAIK,MALE,53.0,ST,INC,479959,662,480621,1928204,-117716,
2073,Karnataka,Raichur,RAJA AMARESHWARA NAIK,MALE,62.0,ST,BJP,596804,1533,598337,1928204,0,
2078,Karnataka,Bidar,ESHWAR B. KHANDRE,MALE,57.0,GENERAL,INC,467297,1340,468637,1775095,-116834,
2080,Karnataka,Bidar,BHAGWANTH KHUBA,MALE,50.0,GENERAL,BJP,583833,1638,585471,1775095,0,
2101,Karnataka,Koppal,K.RAJASHEKAR BASAVARAJ HITNAL,MALE,38.0,GENERAL,INC,547573,813,548386,1736693,-38397,
2103,Karnataka,Koppal,KARADI SANGANNA AMARAPPA,MALE,64.0,GENERAL,BJP,584997,1786,586783,1736693,0,
2116,Karnataka,Bellary,V. S. UGRAPPA,MALE,65.0,ST,INC,559970,711,560681,1751734,-55707,
2118,Karnataka,Bellary,Y. DEVENDRAPPA,MALE,67.0,ST,BJP,614274,2114,616388,1751734,0,
2129,Karnataka,Haveri,D.R. PATIL,MALE,72.0,GENERAL,INC,541969,809,542778,1708510,-140882,
2130,Karnataka,Haveri,UDASI. S.C.,MALE,52.0,GENERAL,BJP,681147,2513,683660,1708510,0,
2140,Karnataka,Dharwad,Pralhad Joshi,MALE,56.0,GENERAL,BJP,682557,2280,684837,1727311,0,
2141,Karnataka,Dharwad,Vinay Kulkarni,MALE,52.0,GENERAL,INC,479119,646,479765,1727311,-205072,
2159,Karnataka,Uttara Kannada,ANANTKUMAR HEGDE,MALE,51.0,GENERAL,BJP,783211,2831,786042,1556599,0,
2160,Karnataka,Uttara Kannada,ANAND ASNOTIKAR,MALE,39.0,GENERAL,JD(S),306130,263,306393,1556599,-479649,
2173,Karnataka,Davanagere,H B MANJAPPA,MALE,51.0,GENERAL,INC,482683,611,483294,1633064,-169702,
2175,Karnataka,Davanagere,G M SIDDESHWAR,MALE,67.0,GENERAL,BJP,651353,1643,652996,1633064,0,
2200,Karnataka,Shimoga,S.MADHUBANGARAPPA,MALE,52.0,GENERAL,JD(S),506212,300,506512,1676668,-223360,
2201,Karnataka,Shimoga,B.Y.RAGHAVENDRA.,MALE,46.0,GENERAL,BJP,728902,970,729872,1676668,0,
2213,Karnataka,Udupi Chikmagalur,PRAMOD MADHWARAJ,MALE,50.0,GENERAL,JD(S),368932,385,369317,1513806,-349599,
2214,Karnataka,Udupi Chikmagalur,SHOBHA KARANDLAJE,FEMALE,52.0,GENERAL,BJP,717482,1434,718916,1513806,0,
2225,Karnataka,Hassan,PRAJWAL REVANNA,MALE,28.0,GENERAL,JD(S),675512,1094,676606,1652999,0,
2226,Karnataka,Hassan,MANJU A,MALE,60.0,GENERAL,BJP,533389,1893,535282,1652999,-141324,
2232,Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,MALE,52.0,GENERAL,BJP,772754,1531,774285,1724976,0,
2233,Karnataka,Dakshina Kannada,MITHUN M RAI,MALE,34.0,GENERAL,INC,499387,277,499664,1724976,-274621,
2246,Karnataka,Chitradurga,B N CHANDRAPPA,MALE,64.0,SC,INC,545159,858,546017,1760633,-80178,
2247,Karnataka,Chitradurga,A NARAYANASWAMY,MALE,62.0,SC,BJP,624200,1995,626195,1760633,0,
2266,Karnataka,Tumkur,H. D. DEVEGOWDA,MALE,86.0,GENERAL,JD(S),581624,1164,582788,1608545,-13339,
2267,Karnataka,Tumkur,G. S. BASAVARAJ,MALE,78.0,GENERAL,BJP,594011,2116,596127,1608545,0,
2282,Karnataka,Mandya,NIKHIL KUMARASWAMY,MALE,31.0,GENERAL,JD(S),576545,1239,577784,1712004,-125876,
2301,Karnataka,Mandya,SUMALATHA AMBAREESH,FEMALE,55.0,GENERAL,IND,702167,1493,703660,1712004,0,
2306,Karnataka,Mysore,PRATHAP SIMHA,MALE,42.0,GENERAL,BJP,685105,3869,688974,1896333,0,
2307,Karnataka,Mysore,C.H.VIJAYASHANKAR,MALE,62.0,GENERAL,INC,548911,1416,550327,1896333,-138647,
2328,Karnataka,Chamarajanagar,R. DHRUVANARAYANA,MALE,58.0,SC,INC,565754,966,566720,1686333,-1817,
2330,Karnataka,Chamarajanagar,V. SRINIVAS PRASAD,MALE,71.0,SC,BJP,567010,1527,568537,1686333,0,
2339,Karnataka,Bangalore Rural,ASHWATHNARAYANGOWDA,MALE,59.0,GENERAL,BJP,670483,905,671388,2497458,-206870,
2341,Karnataka,Bangalore Rural,D.K. SURESH,MALE,52.0,GENERAL,INC,877712,546,878258,2497458,0,
2355,Karnataka,Bangalore North,Krishna Byregowda,MALE,46.0,GENERAL,INC,675834,1148,676982,2849250,-147518,
2356,Karnataka,Bangalore North,D.V. Sadananda Gowda,MALE,66.0,GENERAL,BJP,821934,2566,824500,2849250,0,
2388,Karnataka,Bangalore central,P. C. Mohan,MALE,55.0,GENERAL,BJP,601170,1683,602853,2204817,0,
2389,Karnataka,Bangalore central,Rizwan Arshad,MALE,39.0,GENERAL,INC,531196,689,531885,2204817,-70968,
2410,Karnataka,Bangalore South,TEJASVI SURYA,MALE,28.0,GENERAL,BJP,736605,2624,739229,2215489,0,
2412,Karnataka,Bangalore South,B.K.HARIPRASAD,MALE,64.0,GENERAL,INC,407372,665,408037,2215489,-331192,
2437,Karnataka,Chikkballapur,B.N.Bache Gowda,MALE,76.0,GENERAL,BJP,744475,1437,745912,1808780,0,
2439,Karnataka,Chikkballapur,M.Veerappa Moily,MALE,79.0,GENERAL,INC,563396,406,563802,1808780,-182110,
2453,Karnataka,Kolar,K.H. MUNIYAPPA,MALE,71.0,SC,INC,498259,885,499144,1629961,-210021,
2454,Karnataka,Kolar,S. MUNISWAMY,MALE,44.0,SC,BJP,707930,1235,709165,1629961,0,
2469,Kerala,Kasaragod,Rajmohan Unnithan,MALE,65.0,GENERAL,INC,473983,978,474961,1363937,0,
2470,Kerala,Kasaragod,K. P. Sathishchandran,MALE,61.0,GENERAL,CPIM,432347,2176,434523,1363937,-40438,
2478,Kerala,Kannur,P. K. SREEMATHI TEACHER,FEMALE,69.0,GENERAL,CPIM,432282,2900,435182,1266550,-94559,
2479,Kerala,Kannur,K. SUDHAKARAN,MALE,70.0,GENERAL,INC,527685,2056,529741,1266550,0,
2491,Kerala,Vadakara,P.JAYARAJAN,MALE,66.0,GENERAL,CPIM,439640,2452,442092,1288926,-84663,
2492,Kerala,Vadakara,K. MURALEEDHARAN,MALE,62.0,GENERAL,INC,525004,1751,526755,1288926,0,
2505,Kerala,Wayanad,Rahul Gandhi,MALE,48.0,GENERAL,INC,705034,1333,706367,1359679,0,
2506,Kerala,Wayanad,P.P. Suneer,MALE,50.0,GENERAL,CPI,273971,626,274597,1359679,-431770,
2526,Kerala,Kozhikode,A.PRADEEP KUMAR,MALE,55.0,GENERAL,CPIM,406075,2144,408219,1318024,-85225,
2528,Kerala,Kozhikode,M.K.RAGHAVAN,MALE,66.0,GENERAL,INC,491835,1609,493444,1318024,0,
2541,Kerala,Malappuram,P.K. Kunhalikutty,MALE,67.0,GENERAL,IUML,589153,720,589873,1370544,0,
2543,Kerala,Malappuram,V.P. Sanu,MALE,30.0,GENERAL,CPIM,329103,617,329720,1370544,-260153,
2549,Kerala,Ponnani,E. T. Mohammed Basheer,MALE,72.0,GENERAL,IUML,521438,386,521824,1356803,0,
2553,Kerala,Ponnani,P.V. Anvar Puthan Veetil,MALE,51.0,GENERAL,IND,328208,343,328551,1356803,-193273,
2563,Kerala,Palakkad,M B RAJESH,MALE,48.0,GENERAL,CPIM,386773,864,387637,1323010,-11637,
2564,Kerala,Palakkad,V K SREEKANDAN,MALE,49.0,GENERAL,INC,398714,560,399274,1323010,0,
2573,Kerala,Alathur ,DR. P.K.BIJU,MALE,44.0,SC,CPIM,373696,1151,374847,1266794,-158968,
2574,Kerala,Alathur ,RAMYA HARIDAS,FEMALE,32.0,SC,INC,532493,1322,533815,1266794,0,
2580,Kerala,Thrissur,T. N. PRATHAPAN,MALE,58.0,GENERAL,INC,414541,548,415089,1337110,0,
2581,Kerala,Thrissur,RAJAJI MATHEW THOMAS,MALE,64.0,GENERAL,CPI,320887,569,321456,1337110,-93633,
2588,Kerala,Chalakudy,INNOCENT,MALE,71.0,GENERAL,CPIM,340581,589,341170,1230197,-132274,
2590,Kerala,Chalakudy,BENNY BEHANAN,MALE,66.0,GENERAL,INC,472935,509,473444,1230197,0,
2604,Kerala,Ernakulam,P RAJEEV,MALE,51.0,GENERAL,CPIM,321344,766,322110,1245972,-169153,
2605,Kerala,Ernakulam,HIBI EDEN,MALE,35.0,GENERAL,INC,490854,409,491263,1245972,0,
2616,Kerala,Idukki,Adv. DEAN KURIAKOSE,MALE,37.0,GENERAL,INC,497697,796,498493,1204191,0,
2621,Kerala,Idukki,"Adv, JOICE GEORGE",MALE,49.0,GENERAL,IND,326701,739,327440,1204191,-171053,
2626,Kerala,Kottayam,Thomas Chazhikadan,MALE,66.0,GENERAL,KEC(M),420294,752,421046,1206698,0,
2627,Kerala,Kottayam,V.N. Vasavan,MALE,64.0,GENERAL,CPIM,313492,1295,314787,1206698,-106259,
2633,Kerala,Alappuzha,Adv. A M ARIFF,MALE,54.0,GENERAL,CPIM,443003,2967,445970,1356701,0,
2636,Kerala,Alappuzha,Adv. SHANIMOL OSMAN,FEMALE,52.0,GENERAL,INC,433790,1706,435496,1356701,-10474,
2646,Kerala,Mavelikkara ,KODIKUNNIL SURESH,MALE,56.0,SC,INC,437997,2418,440415,1308102,0,
2647,Kerala,Mavelikkara ,CHITTAYAM GOPAKUMAR,MALE,53.0,SC,CPI,376497,2780,379277,1308102,-61138,
2657,Kerala,Pathanamthitta,ANTO ANTONY,MALE,62.0,GENERAL,INC,380089,838,380927,1382741,0,
2658,Kerala,Pathanamthitta,VEENA GEORGE,FEMALE,42.0,GENERAL,CPIM,335476,1208,336684,1382741,-44243,
2666,Kerala,Kollam,N.K.Premachandran,MALE,58.0,GENERAL,RSP,497264,2413,499677,1296720,0,
2667,Kerala,Kollam,K.N.Balagopal,MALE,55.0,GENERAL,CPIM,347492,3329,350821,1296720,-148856,
2676,Kerala,Attingal,Adv. ADOOR PRAKASH,MALE,63.0,GENERAL,INC,379469,1526,380995,1350710,0,
2679,Kerala,Attingal,Dr. A. SAMPATH,MALE,56.0,GENERAL,CPIM,340298,2450,342748,1350710,-38247,
2697,Kerala,Thiruvananthapuram,KUMMANAM RAJASEKHARAN,MALE,66.0,GENERAL,BJP,313925,2217,316142,1371427,-99989,
2699,Kerala,Thiruvananthapuram,Dr. SHASHI THAROOR,MALE,63.0,GENERAL,INC,414057,2074,416131,1371427,0,
2715,Madhya Pradesh,MORENA,NARENDRA SINGH TOMAR,MALE,61.0,GENERAL,BJP,537856,3833,541689,1837723,0,
2716,Madhya Pradesh,MORENA,RAMNIWAS RAWAT,MALE,59.0,GENERAL,INC,427890,458,428348,1837723,-113341,
2740,Madhya Pradesh,BHIND,DEVASHISH,MALE,28.0,SC,INC,327177,632,327809,1765334,-199885,
2742,Madhya Pradesh,BHIND,SANDHYA RAY,FEMALE,45.0,SC,BJP,522990,4704,527694,1765334,0,
2759,Madhya Pradesh,GWALIOR,ASHOK SINGH,MALE,56.0,GENERAL,INC,479482,926,480408,2000744,-146842,
2761,Madhya Pradesh,GWALIOR,VIVEK NARAYAN SHEJWALKAR,MALE,71.0,GENERAL,BJP,624801,2449,627250,2000744,0,
2778,Madhya Pradesh,GUNA,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",MALE,43.0,GENERAL,BJP,610855,3194,614049,1675724,0,
2779,Madhya Pradesh,GUNA,JYOTIRADITYA M. SCINDIA,MALE,48.0,GENERAL,INC,486105,2395,488500,1675724,-125549,
2792,Madhya Pradesh,SAGAR,PRABHU SINGH THAKUR,MALE,65.0,GENERAL,INC,340335,354,340689,1583129,-305542,
2794,Madhya Pradesh,SAGAR,RAJBAHADUR SINGH,MALE,51.0,GENERAL,BJP,645338,893,646231,1583129,0,
2803,Madhya Pradesh,TIKAMGARH,Ahirwar Kiran,FEMALE,47.0,SC,INC,323776,413,324189,1647399,-348059,
2804,Madhya Pradesh,TIKAMGARH,Dr Virendra Kumar,MALE,65.0,SC,BJP,670967,1281,672248,1647399,0,
2819,Madhya Pradesh,DAMOH,PRATAP SINGH,MALE,57.0,GENERAL,INC,351016,97,351113,1768777,-353411,
2820,Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,MALE,59.0,GENERAL,BJP,704221,303,704524,1768777,0,
2834,Madhya Pradesh,KHAJURAHO,MAHARANI KAVITA SINGH NATIRAJA,FEMALE,39.0,GENERAL,INC,318526,227,318753,1842095,-492382,
2835,Madhya Pradesh,KHAJURAHO,V.D. SHARMA (VISHNU DATT SHARMA),MALE,49.0,GENERAL,BJP,810410,725,811135,1842095,0,
2853,Madhya Pradesh,SATNA,GANESH SINGH,MALE,56.0,GENERAL,BJP,587410,1343,588753,1575064,0,
2854,Madhya Pradesh,SATNA,RAJARAM TRIPATHI,MALE,66.0,GENERAL,INC,356973,307,357280,1575064,-231473,
2875,Madhya Pradesh,REWA,JANARDAN MISHRA,MALE,62.0,GENERAL,BJP,580769,3000,583769,1679534,0,
2877,Madhya Pradesh,REWA,"SIDDHARTH TIWARI ""RAJ""",MALE,34.0,GENERAL,INC,270519,442,270961,1679534,-312808,
2898,Madhya Pradesh,SIDHI,Ajay Arjun Singh,MALE,63.0,GENERAL,INC,411282,536,411818,1845547,-286524,
2900,Madhya Pradesh,SIDHI,Riti Pathak,FEMALE,41.0,GENERAL,BJP,697212,1130,698342,1845547,0,
2926,Madhya Pradesh,SHAHDOL,PRAMILA SINGH,FEMALE,50.0,ST,INC,343553,1091,344644,1656474,-403333,
2928,Madhya Pradesh,SHAHDOL,HIMADRI SINGH,FEMALE,32.0,ST,BJP,746122,1855,747977,1656474,0,
2939,Madhya Pradesh,JABALPUR,RAKESH SINGH,MALE,56.0,GENERAL,BJP,825674,780,826454,1819893,0,
2941,Madhya Pradesh,JABALPUR,Pt. VIVEK KRISHNA TANKHA,MALE,63.0,GENERAL,INC,371562,148,371710,1819893,-454744,
2962,Madhya Pradesh,MANDLA,KAMAL SINGH MARAVI,MALE,58.0,ST,INC,638372,1220,639592,1951267,-97674,
2963,Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,MALE,59.0,ST,BJP,735365,1901,737266,1951267,0,
2975,Madhya Pradesh,BALAGHAT,DR DHAL SINGH BISEN,MALE,66.0,GENERAL,BJP,692859,3243,696102,1767725,0,
2976,Madhya Pradesh,BALAGHAT,MADHU BHAGAT,MALE,53.0,GENERAL,INC,452594,1442,454036,1767725,-242066,
2997,Madhya Pradesh,CHHINDWARA,NAKUL KAMAL NATH,MALE,44.0,GENERAL,INC,586551,754,587305,1514783,0,
2998,Madhya Pradesh,CHHINDWARA,NATHANSAHA KAWRETI,MALE,57.0,ST,BJP,548845,924,549769,1514783,-37536,
3012,Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,MALE,54.0,GENERAL,BJP,876911,1016,877927,1706141,0,
3014,Madhya Pradesh,HOSHANGABAD,SHAILENDRA DIWAN CHANDARBHAN SINGH,MALE,39.0,GENERAL,INC,324139,106,324245,1706141,-553682,
3025,Madhya Pradesh,VIDISHA,Ramakant Bhargava,MALE,65.0,GENERAL,BJP,850443,2579,853022,1741604,0,
3026,Madhya Pradesh,VIDISHA,Shailendra Rameshchandra Patel,MALE,43.0,GENERAL,INC,348815,1123,349938,1741604,-503084,
3038,Madhya Pradesh,BHOPAL,DIGVIJAYA SINGH,MALE,71.0,GENERAL,INC,501279,381,501660,2142861,-364822,
3039,Madhya Pradesh,BHOPAL,SADHVI PRAGYA SINGH THAKUR,FEMALE,49.0,GENERAL,BJP,865212,1270,866482,2142861,0,
3069,Madhya Pradesh,RAJGARH,MONA SUSTANI,FEMALE,50.0,GENERAL,INC,392160,645,392805,1694329,-431019,
3070,Madhya Pradesh,RAJGARH,RODMAL NAGAR,MALE,58.0,GENERAL,BJP,822225,1599,823824,1694329,0,
3081,Madhya Pradesh,DEWAS,PRAHLAD SINGH TIPANYA,MALE,65.0,SC,INC,489757,423,490180,1760503,-372249,
3083,Madhya Pradesh,DEWAS,MAHENDRA SINGH SOLANKY,MALE,35.0,SC,BJP,860708,1721,862429,1760503,0,
3088,Madhya Pradesh,UJJAIN,ANIL FIROJIYA,MALE,47.0,SC,BJP,790207,1456,791663,1661229,0,
3089,Madhya Pradesh,UJJAIN,BABULAL MALVIYA,MALE,56.0,SC,INC,425509,517,426026,1661229,-365637,
3099,Madhya Pradesh,MANDSOUR,Meenakshi Natarajan,FEMALE,45.0,GENERAL,INC,470528,524,471052,1760875,-376734,
3100,Madhya Pradesh,MANDSOUR,Sudheer Gupta,MALE,59.0,GENERAL,BJP,845944,1842,847786,1760875,0,
3112,Madhya Pradesh,RATLAM,KANTILAL BHURIA,MALE,68.0,ST,INC,604409,1058,605467,1851112,-90636,
3113,Madhya Pradesh,RATLAM,GUMAN SINGH DAMOR,MALE,62.0,ST,BJP,694243,1860,696103,1851112,0,
3122,Madhya Pradesh,DHAR,GIRWAL DINESH,MALE,38.0,ST,INC,565687,431,566118,1786151,-156029,
3124,Madhya Pradesh,DHAR,CHATTARSINGH DARBAR,MALE,65.0,ST,BJP,721025,1122,722147,1786151,0,
3131,Madhya Pradesh,INDORE,PANKAJ SANGHVI,MALE,58.0,GENERAL,INC,520268,547,520815,2350580,-547754,
3132,Madhya Pradesh,INDORE,SHANKAR LALWANI,MALE,57.0,GENERAL,BJP,1066824,1745,1068569,2350580,0,
3152,Madhya Pradesh,KHARGONE,GAJENDRA UMRAO SINGH PATEL,MALE,43.0,ST,BJP,772221,1329,773550,1834385,0,
3153,Madhya Pradesh,KHARGONE,DR. GOVIND SUBHAN MUJALDA,MALE,55.0,ST,INC,570106,934,571040,1834385,-202510,
3159,Madhya Pradesh,KHANDWA,ARUN SUBHASH CHANDRA YADAV,MALE,45.0,GENERAL,INC,564761,805,565566,1909055,-273343,
3161,Madhya Pradesh,KHANDWA,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),MALE,66.0,GENERAL,BJP,837969,940,838909,1909055,0,
3172,Madhya Pradesh,BETUL,DURGA DAS (D.D.) UIKEY,MALE,55.0,ST,BJP,810237,1011,811248,1737437,0,
3173,Madhya Pradesh,BETUL,RAMU TEKAM (ADVOCATE),MALE,31.0,ST,INC,450802,205,451007,1737437,-360241,
3181,Maharashtra,Nandurbar ,Adv. K. C. Padavi,MALE,61.0,ST,INC,541930,1577,543507,1871099,-95629,
3183,Maharashtra,Nandurbar ,Dr. Heena Vijaykumar Gavit,FEMALE,31.0,ST,BJP,637226,1910,639136,1871099,0,
3194,Maharashtra,Dhule,Kunalbaba Rohidas Patil,MALE,45.0,GENERAL,INC,382636,1654,384290,1908173,-229243,
3195,Maharashtra,Dhule,Bhamre Subhash Ramrao,MALE,66.0,GENERAL,BJP,610268,3265,613533,1908173,0,
3222,Maharashtra,Jalgaon,Unmesh Bhaiyyasaheb Patil,MALE,40.0,GENERAL,BJP,709510,4364,713874,1931400,0,
3223,Maharashtra,Jalgaon,Gulabrao Baburao Deokar,MALE,63.0,GENERAL,NCP,299240,3017,302257,1931400,-411617,
3237,Maharashtra,Raver,Dr.Ulhas Vasudeo Patil,MALE,59.0,GENERAL,INC,318740,764,319504,1775051,-335882,
3238,Maharashtra,Raver,Khadse Raksha Nikhil,FEMALE,31.0,GENERAL,BJP,652212,3174,655386,1775051,0,
3251,Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,MALE,58.0,GENERAL,SHS,520537,1440,521977,1762918,0,
3252,Maharashtra,Buldhana,Dr. Rajendra Bhaskarrav Shingne,MALE,58.0,GENERAL,NCP,388293,397,388690,1762918,-133287,
