,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes_x,total_electors,margin,margin_difference,votes,total_votes_y,votes_share
38,Uttar Pradesh,Gautam Buddha Nagar,Dr. MAHESH SHARMA,MALE,59.0,GENERAL,BJP,828164,2648,830812,2302960,0,,42858171,86481398,49.55767597558957
39,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,MALE,67.0,GENERAL,BJP,942576,1927,944503,2728978,0,,42858171,86481398,49.55767597558957
40,Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,MALE,53.0,GENERAL,BJP,507276,914,508190,1770248,0,,42858171,86481398,49.55767597558957
41,Uttar Pradesh,Gorakhpur,Ravindra Shyamnarayan Shukla alias Ravi Kishan,MALE,51.0,GENERAL,BJP,715010,2112,717122,1981197,0,,42858171,86481398,49.55767597558957
42,Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,MALE,45.0,GENERAL,BJP,574101,1021,575122,1749100,0,,42858171,86481398,49.55767597558957
43,Uttar Pradesh,Hardoi,Jai Prakash,MALE,61.0,SC,BJP,567244,899,568143,1807119,0,,42858171,86481398,49.55767597558957
44,Uttar Pradesh,Hathras,RAJVIR DILER,MALE,61.0,SC,BJP,679799,4500,684299,1864320,0,,42858171,86481398,49.55767597558957
45,Uttar Pradesh,Jalaun,BHANU PRATAP SINGH VERMA,MALE,60.0,SC,BJP,579723,2040,581763,1933358,0,,42858171,86481398,49.55767597558957
46,Uttar Pradesh,Jhansi,Anurag Sharma,MALE,54.0,GENERAL,BJP,808371,901,809272,2040739,0,,42858171,86481398,49.55767597558957
47,Uttar Pradesh,Kairana,Pradeep Kumar,MALE,48.0,GENERAL,BJP,564380,2581,566961,1666703,0,,42858171,86481398,49.55767597558957
48,Uttar Pradesh,Kaiserganj,Brijbhusan Sharan Singh,MALE,62.0,GENERAL,BJP,580226,1132,581358,1805946,0,,42858171,86481398,49.55767597558957
49,Uttar Pradesh,Kannauj,SUBRAT PATHAK,MALE,39.0,GENERAL,BJP,561286,1801,563087,1874824,0,,42858171,86481398,49.55767597558957
50,Uttar Pradesh,Kanpur,Satyadev Pachauri,MALE,71.0,GENERAL,BJP,466442,2495,468937,1632983,0,,42858171,86481398,49.55767597558957
51,Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,MALE,49.0,SC,BJP,381517,1492,383009,1787120,0,,42858171,86481398,49.55767597558957
52,Uttar Pradesh,Kheri,Ajay Kumar,MALE,60.0,GENERAL,BJP,609285,304,609589,1770699,0,,42858171,86481398,49.55767597558957
53,Uttar Pradesh,Kushi Nagar,VIJAY KUMAR DUBEY,MALE,50.0,GENERAL,BJP,595508,1531,597039,1761564,0,,42858171,86481398,49.55767597558957
54,Uttar Pradesh,Lucknow,Rajnath Singh,MALE,67.0,GENERAL,BJP,627881,5145,633026,2040367,0,,42858171,86481398,49.55767597558957
55,Uttar Pradesh,Machhlishahr,Bholanath (B.P. Saroj),MALE,58.0,SC,BJP,487093,1304,488397,1848306,0,,42858171,86481398,49.55767597558957
56,Uttar Pradesh,Mathura,HEMA MALINI,FEMALE,70.0,GENERAL,BJP,667342,3951,671293,1807893,0,,42858171,86481398,49.55767597558957
57,Uttar Pradesh,Meerut,RAJENDRA AGARWAL,MALE,68.0,GENERAL,BJP,582976,3208,586184,1892931,0,,42858171,86481398,49.55767597558957
58,Uttar Pradesh,Misrikh,Ashok Kumar Rawat,MALE,52.0,SC,BJP,533562,867,534429,1796932,0,,42858171,86481398,49.55767597558957
59,Uttar Pradesh,Mohanlalganj,Kaushal Kishore,MALE,59.0,SC,BJP,627223,2776,629999,2023431,0,,42858171,86481398,49.55767597558957
60,Uttar Pradesh,Muzaffarnagar,Sanjeev Kumar Balyan,MALE,46.0,GENERAL,BJP,569535,4245,573780,1698003,0,,42858171,86481398,49.55767597558957
61,Uttar Pradesh,Phulpur,Keshari Devi Patel,FEMALE,62.0,GENERAL,BJP,542398,2303,544701,2010477,0,,42858171,86481398,49.55767597558957
62,Uttar Pradesh,Pilibhit,Feroze Varun Gandhi,MALE,39.0,GENERAL,BJP,702755,1794,704549,1761207,0,,42858171,86481398,49.55767597558957
63,Uttar Pradesh,Pratapgarh,SANGAM LAL GUPTA,MALE,48.0,GENERAL,BJP,434222,2069,436291,1708759,0,,42858171,86481398,49.55767597558957
64,Uttar Pradesh,Salempur,RAVINDER,MALE,55.0,GENERAL,BJP,464629,3311,467940,1667282,0,,42858171,86481398,49.55767597558957
65,Uttar Pradesh,Sant Kabir Nagar,PRAVEEN KUMAR NISHAD,MALE,30.0,ST,BJP,466167,1376,467543,1962903,0,,42858171,86481398,49.55767597558957
66,Uttar Pradesh,Shahjahanpur,Arun Kumar Sagar,MALE,42.0,SC,BJP,686352,2638,688990,2114201,0,,42858171,86481398,49.55767597558957
67,Uttar Pradesh,Sitapur,Rajesh Verma,MALE,58.0,GENERAL,BJP,513984,544,514528,1666126,0,,42858171,86481398,49.55767597558957
68,Uttar Pradesh,Sultanpur,MANEKA SANJAI GANDHI,FEMALE,62.0,GENERAL,BJP,458281,915,459196,1775196,0,,42858171,86481398,49.55767597558957
69,Uttar Pradesh,UP_Maharajganj,PANKAJ CHOUDHARY,MALE,54.0,GENERAL,BJP,725557,792,726349,1915408,0,,42858171,86481398,49.55767597558957
70,Uttar Pradesh,Unnao,Swami Sakshi Ji Maharaj,MALE,63.0,GENERAL,BJP,702441,1066,703507,2191465,0,,42858171,86481398,49.55767597558957
71,Uttar Pradesh,Varanasi,NARENDRA MODI,MALE,68.0,GENERAL,BJP,673453,1211,674664,1856791,0,,42858171,86481398,49.55767597558957
72,Maharashtra,Ahmadnagar ,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,MALE,37.0,GENERAL,BJP,696961,7699,704660,1861396,0,,14912139,54054245,27.58735969765187
73,Maharashtra,Akola,Dhotre Sanjay Shamrao,MALE,60.0,GENERAL,BJP,552898,1546,554444,1865169,0,,14912139,54054245,27.58735969765187
74,Maharashtra,Beed,Pritam Gopinathrao Munde,FEMALE,36.0,GENERAL,BJP,675841,2334,678175,2045405,0,,14912139,54054245,27.58735969765187
75,Maharashtra,Bhandara - gondiya,Sunil Baburao Mendhe,MALE,50.0,GENERAL,BJP,646152,4091,650243,1811556,0,,14912139,54054245,27.58735969765187
76,Maharashtra,Bhiwandi,KAPIL MORESHWAR PATIL,MALE,58.0,GENERAL,BJP,522032,1551,523583,1890100,0,,14912139,54054245,27.58735969765187
77,Maharashtra,Dhule,Bhamre Subhash Ramrao,MALE,66.0,GENERAL,BJP,610268,3265,613533,1908173,0,,14912139,54054245,27.58735969765187
78,Maharashtra,Dindori ,Dr. Bharati Pravin Pawar,FEMALE,40.0,ST,BJP,565452,2018,567470,1732936,0,,14912139,54054245,27.58735969765187
79,Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,MALE,55.0,ST,BJP,517722,2246,519968,1581366,0,,14912139,54054245,27.58735969765187
80,Maharashtra,Jalgaon,Unmesh Bhaiyyasaheb Patil,MALE,40.0,GENERAL,BJP,709510,4364,713874,1931400,0,,14912139,54054245,27.58735969765187
81,Maharashtra,Jalna,Danve Raosaheb Dadarao,MALE,65.0,GENERAL,BJP,694945,3074,698019,1867220,0,,14912139,54054245,27.58735969765187
82,Maharashtra,Latur ,Sudhakar Tukaram Shrangare,MALE,57.0,SC,BJP,657590,3905,661495,1886657,0,,14912139,54054245,27.58735969765187
83,Maharashtra,Madha,Ranjeetsinha Hindurao Naik- Nimbalkar,MALE,42.0,GENERAL,BJP,583191,3123,586314,1909574,0,,14912139,54054245,27.58735969765187
84,Maharashtra,Mumbai North,Gopal Shetty,MALE,65.0,GENERAL,BJP,705555,1123,706678,1647350,0,,14912139,54054245,27.58735969765187
85,Maharashtra,Mumbai North East,Manoj Kotak,MALE,46.0,GENERAL,BJP,513579,1020,514599,1588693,0,,14912139,54054245,27.58735969765187
86,Maharashtra,Mumbai North central,POONAM MAHAJAN,FEMALE,38.0,GENERAL,BJP,485815,857,486672,1679891,0,,14912139,54054245,27.58735969765187
87,Maharashtra,Nagpur ,NITIN JAIRAM GADKARI,MALE,62.0,GENERAL,BJP,657624,2597,660221,2161096,0,,14912139,54054245,27.58735969765187
88,Maharashtra,Nanded,Prataprao Patil Chikhalikar,MALE,57.0,GENERAL,BJP,482148,4658,486806,1719322,0,,14912139,54054245,27.58735969765187
89,Maharashtra,Nandurbar ,Dr. Heena Vijaykumar Gavit,FEMALE,31.0,ST,BJP,637226,1910,639136,1871099,0,,14912139,54054245,27.58735969765187
90,Maharashtra,Pune,Girish Bhalchandra Bapat,MALE,68.0,GENERAL,BJP,631875,960,632835,2075824,0,,14912139,54054245,27.58735969765187
91,Maharashtra,Raver,Khadse Raksha Nikhil,FEMALE,31.0,GENERAL,BJP,652212,3174,655386,1775051,0,,14912139,54054245,27.58735969765187
92,Maharashtra,Sangli,Sanjaykaka Patil,MALE,54.0,GENERAL,BJP,503615,5380,508995,1809109,0,,14912139,54054245,27.58735969765187
93,Maharashtra,Solapur ,SHRI. SHA. BRA. DR. JAI SIDHESHWAR SHIVACHARY MAHASWAMIJI,MALE,63.0,SC,BJP,523352,1633,524985,1851654,0,,14912139,54054245,27.58735969765187
94,Maharashtra,Wardha,Ramdas Chandrabhanji Tadas,MALE,65.0,GENERAL,BJP,575488,2876,578364,1743283,0,,14912139,54054245,27.58735969765187
95,Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,MALE,58.0,GENERAL,BJP,745810,4024,749834,1811851,0,,18091275,29081964,62.20788595983407
96,Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,MALE,69.0,SC,BJP,638241,3381,641622,1643317,0,,18091275,29081964,62.20788595983407
97,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,MALE,64.0,GENERAL,BJP,527593,1442,529035,1628451,0,,18091275,29081964,62.20788595983407
98,Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),MALE,54.0,GENERAL,BJP,631581,1516,633097,1655870,0,,18091275,29081964,62.20788595983407
99,Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,MALE,70.0,GENERAL,BJP,675650,3458,679108,1697384,0,,18091275,29081964,62.20788595983407
100,Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,MALE,49.0,ST,BJP,740448,1825,742273,1826526,0,,18091275,29081964,62.20788595983407
101,Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,MALE,61.0,ST,BJP,635374,2421,637795,1564519,0,,18091275,29081964,62.20788595983407
102,Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,FEMALE,55.0,GENERAL,BJP,655272,6001,661273,1768297,0,,18091275,29081964,62.20788595983407
