,state,party,votes,total_votes_statewise,split_votes_perc
88,Assam,NRCong,4278,17986066,0.023785078960568695
89,Assam,PUJP,22415,17986066,0.12462425079503212
90,Assam,RPI(A),11250,17986066,0.06254841942646047
91,Assam,SP,2383,17986066,0.013249145199400469
92,Assam,SUCI(C),16831,17986066,0.09357799532148943
93,Assam,SwaBP,4110,17986066,0.022851022563800224
94,Assam,TNRMPI,3973,17986066,0.022089321811673546
95,Assam,UPPL,312435,17986066,1.7370947043116598
96,Assam,VPI,50355,17986066,0.279966725352837
97,Bihar,AAAP,26147,40806661,0.06407532338899279
98,Bihar,AAHPty,3434,40806661,0.008415292787616218
99,Bihar,AAM,32218,40806661,0.07895279645644127
100,Bihar,ABJS,3597,40806661,0.008814737378292234
101,Bihar,AHFBK,23252,40806661,0.05698089338894942
102,Bihar,AIFB,16454,40806661,0.04032184843547969
103,Bihar,AIMIM,295029,40806661,0.7229922585432804
104,Bihar,AITC,5483,40806661,0.013436531844641735
105,Bihar,AJPR,31017,40806661,0.07600964950305539
106,Bihar,AKBHAD,4378,40806661,0.010728640601101864
107,Bihar,AKBMP,10127,40806661,0.024817026808441885
108,Bihar,AMiP,11311,40806661,0.027718513896542528
109,Bihar,ANC,12431,40806661,0.030463163844745834
110,Bihar,APKSP,8354,40806661,0.020472147917223613
111,Bihar,APoI,25234,40806661,0.06183794356514491
112,Bihar,ASDHP,11598,40806661,0.028421830445769625
113,Bihar,BALP,12270,40806661,0.03006862041469161
114,Bihar,BBC,19003,40806661,0.04656837764795311
115,Bihar,BBMP,9894,40806661,0.024246041596003163
116,Bihar,BDlP,15376,40806661,0.037680122860334
117,Bihar,BHAIP,1613,40806661,0.003952786041474945
118,Bihar,BHAPRAP,4965,40806661,0.012167131243597706
119,Bihar,BIP,2231,40806661,0.0054672446736085565
120,Bihar,BJAZP,1814,40806661,0.004445352683965002
121,Bihar,BJKD,23414,40806661,0.057377887399314535
122,Bihar,BJKVP,40906,40806661,0.10024343819750407
123,Bihar,BJP,9619548,40806661,23.573474928517186
124,Bihar,BKVP,3778,40806661,0.009258292414564377
125,Bihar,BLND,32445,40806661,0.07950907818701461
126,Bihar,BLRP,4208,40806661,0.010312041948249577
127,Bihar,BLSP,1462518,40806661,3.584017815130721
128,Bihar,BMF,23765,40806661,0.058238041088438976
129,Bihar,BMUP,63443,40806661,0.155472166664163
130,Bihar,BMtrP,12737,40806661,0.031213041419879954
131,Bihar,BNDl,26065,40806661,0.06387437580349933
132,Bihar,BNSKP,2640,40806661,0.006469532020764944
133,Bihar,BRM,7944,40806661,0.01946740998975633
134,Bihar,BSP,682428,40806661,1.6723446204040073
135,Bihar,BSSPA,3615,40806661,0.00885884782388836
136,Bihar,BhAmAP,9628,40806661,0.023594187233304878
137,Bihar,BhNP,5674,40806661,0.013904592684022837
138,Bihar,CPI,280250,40806661,0.6867751321285513
139,Bihar,CPI(ML)(L),545096,40806661,1.3358015251480635
140,Bihar,CPIM,27577,40806661,0.0675796532335738
141,Bihar,GJNP,11678,40806661,0.028617876870641292
142,Bihar,HAMS,956501,40806661,2.343982517952155
143,Bihar,HND,10966,40806661,0.02687306368928347
144,Bihar,INC,3140797,40806661,7.696775288720634
145,Bihar,IND,2225474,40806661,5.453702766810546
146,Bihar,JANADIP,34770,40806661,0.08520667740984737
147,Bihar,JAPL,97631,40806661,0.239252606333069
148,Bihar,JD(U),8902719,40806661,21.81682789483805
149,Bihar,JDR,27584,40806661,0.06759680729575007
150,Bihar,JGHTP,6171,40806661,0.015122531098538054
151,Bihar,JHP,13693,40806661,0.03355579619709635
152,Bihar,JKNPP,3545,40806661,0.008687307202125653
153,Bihar,JKiP,9264,40806661,0.022702176000138803
154,Bihar,JMM,30853,40806661,0.07560775433206848
155,Bihar,JP,13467,40806661,0.0330019650468339
156,Bihar,JPJD,17791,40806661,0.04359827431114739
157,Bihar,JPS,1793,40806661,0.0043938904974361905
158,Bihar,JRVP,2364,40806661,0.0057931718549577
159,Bihar,JTVP,17955,40806661,0.0440001694821343
160,Bihar,KPOI,3064,40806661,0.007508578072584767
161,Bihar,LAJSP,9868,40806661,0.024182326507919873
162,Bihar,LCD,2384,40806661,0.005842183461175615
163,Bihar,LJP,3206979,40806661,7.858959594856339
164,Bihar,LJVM,9278,40806661,0.022736484124491342
165,Bihar,LSD,6313,40806661,0.01547051350268526
166,Bihar,MADP,14532,40806661,0.035611833077937936
167,Bihar,MOSP,17980,40806661,0.044061433989906695
